レース場,レース番号,レース種別,天候,風向,風速(m),波高(cm),決まり手,着順,艇番,登録番号,選手名,モーター,ボート,展示タイム,進入,スタートタイミング,レースタイム
唐津,1,予選,晴,西,3,3,逃げ,01,1,4981,牧山敦也,56,57,6.64,1,0.16,1.49.8
唐津,1,予選,晴,西,3,3,逃げ,02,3,4884,勝浦真帆,47,44,6.64,3,0.14,1.51.3
唐津,1,予選,晴,西,3,3,逃げ,03,6,4994,山本梨菜,39,55,6.67,4,0.16,1.52.9
唐津,1,予選,晴,西,3,3,逃げ,04,2,5092,篠原晟弥,58,80,6.66,2,0.29,1.55.0
唐津,1,予選,晴,西,3,3,逃げ,05,4,4878,西岡育未,50,86,6.67,5,0.19,1.55.7
唐津,1,予選,晴,西,3,3,逃げ,06,5,4857,加藤翔馬,26,79,6.70,6,0.24,1.56.7
唐津,2,予選,晴,西,3,3,逃げ,01,1,5018,竹下大樹,17,90,6.68,1,0.14,1.58.3
唐津,2,予選,晴,西,3,3,逃げ,02,2,4936,戸敷晃美,19,62,6.68,2,0.15,2.00.1
唐津,2,予選,晴,西,3,3,逃げ,03,3,5129,山口真喜子,32,38,6.70,3,0.21,2.05.2
唐津,2,予選,晴,西,3,3,逃げ,04,5,4886,入海馨,49,58,6.63,5,0.22,2.10.6
唐津,2,予選,晴,西,3,3,逃げ,05,6,5086,本村大,25,54,6.61,6,0.21,2.12.8
唐津,3,予選,晴,西,2,2,逃げ,01,1,5016,宮田龍馬,59,46,6.63,1,0.09,1.49.6
唐津,3,予選,晴,西,2,2,逃げ,02,2,5161,登玉隼百,48,61,6.73,2,0.10,1.51.4
唐津,3,予選,晴,西,2,2,逃げ,03,3,4985,井本昌也,60,69,6.72,3,0.19,1.52.8
唐津,3,予選,晴,西,2,2,逃げ,04,4,4909,薮内瑞希,31,70,6.64,4,0.15,1.53.9
唐津,3,予選,晴,西,2,2,逃げ,05,6,5126,山下大輝,34,83,6.65,6,0.11,1.54.8
唐津,3,予選,晴,西,2,2,逃げ,06,5,4879,山崎鉄平,21,45,6.69,5,0.24,1.56.1
唐津,4,予選,晴,西,2,2,逃げ,01,1,5012,加倉侑征,16,82,6.66,1,0.08,1.49.4
唐津,4,予選,晴,西,2,2,逃げ,02,6,4980,佐々木完太,65,42,6.63,4,0.21,1.51.8
唐津,4,予選,晴,西,2,2,逃げ,03,5,5105,富田恕生,40,77,6.69,6,0.21,1.53.0
唐津,4,予選,晴,西,2,2,逃げ,04,2,4963,實森美祐,20,63,6.74,2,0.23,1.54.3
唐津,4,予選,晴,西,2,2,逃げ,05,4,5073,上原健次郎,69,60,6.67,5,0.18,1.54.5
唐津,4,予選,晴,西,2,2,逃げ,06,3,5111,三村岳人,11,43,6.67,3,0.23,1.55.6
唐津,5,予選,晴,西,3,3,抜き,01,4,5121,定松勇樹,18,76,6.58,4,0.15,1.49.6
唐津,5,予選,晴,西,3,3,抜き,02,6,5058,前原大道,63,67,6.67,5,0.21,1.50.9
唐津,5,予選,晴,西,3,3,抜き,03,1,4884,勝浦真帆,47,44,6.64,1,0.19,1.52.3
唐津,5,予選,晴,西,3,3,抜き,04,2,4991,宗行治哉,30,66,6.66,2,0.21,1.52.6
唐津,5,予選,晴,西,3,3,抜き,05,5,4957,竹之内極,44,35,6.61,6,0.19,1.53.3
唐津,5,予選,晴,西,3,3,抜き,06,3,5222,津田陸翔,45,40,6.65,3,0.11,1.55.5
唐津,6,予選,晴,西,4,4,まくり差し,01,5,4964,土屋南,55,78,6.66,5,0.08,1.49.6
唐津,6,予選,晴,西,4,4,まくり差し,02,4,4981,牧山敦也,56,57,6.66,4,0.08,1.50.7
唐津,6,予選,晴,西,4,4,まくり差し,03,6,5055,眞鳥章太,61,88,6.69,6,0.19,1.53.5
唐津,6,予選,晴,西,4,4,まくり差し,04,1,5193,米丸乃絵,62,74,6.64,1,0.21,1.54.2
唐津,6,予選,晴,西,4,4,まくり差し,05,2,5081,篠原飛翔,27,39,6.63,2,0.22,1.55.8
唐津,6,予選,晴,西,4,4,まくり差し,06,3,4932,新開航,33,72,6.65,3,0.23,1.56.8
唐津,7,予選,晴,北西,2,2,逃げ,01,1,5029,中亮太,14,73,6.63,1,0.10,1.48.1
唐津,7,予選,晴,北西,2,2,逃げ,02,4,5084,末永和也,37,81,6.62,4,0.16,1.49.7
唐津,7,予選,晴,北西,2,2,逃げ,03,5,5129,山口真喜子,32,38,6.62,5,0.19,1.52.2
唐津,7,予選,晴,北西,2,2,逃げ,04,6,5060,数原魁,67,51,6.55,6,0.19,1.53.2
唐津,7,予選,晴,北西,2,2,逃げ,05,3,4931,木谷賢太,13,53,6.66,3,0.11,1.54.5
唐津,7,予選,晴,北西,2,2,逃げ,06,2,5217,藤原碧生,52,64,6.64,2,0.11,1.56.4
唐津,8,予選,晴,北西,1,1,逃げ,01,1,5037,田頭虎親,51,52,6.64,1,0.01,1.48.9
唐津,8,予選,晴,北西,1,1,逃げ,02,2,4886,入海馨,49,58,6.60,2,0.09,1.49.6
唐津,8,予選,晴,北西,1,1,逃げ,03,3,4958,溝口海義也,29,41,6.64,3,0.08,1.52.1
唐津,8,予選,晴,北西,1,1,逃げ,04,5,4909,薮内瑞希,31,70,6.67,5,0.04,1.53.7
唐津,8,予選,晴,北西,1,1,逃げ,05,6,5028,原田才一郎,38,33,6.68,6,0.02,1.54.8
唐津,8,予選,晴,北西,1,1,逃げ,06,4,4980,佐々木完太,65,42,6.61,4,0.09,1.57.0
唐津,9,予選,晴,西,3,3,逃げ,01,1,4936,戸敷晃美,19,62,6.62,1,0.13,1.48.3
唐津,9,予選,晴,西,3,3,逃げ,02,4,5026,安河内健,23,87,6.55,4,0.15,1.50.4
唐津,9,予選,晴,西,3,3,逃げ,03,5,5111,三村岳人,11,43,6.61,5,0.13,1.52.7
唐津,9,予選,晴,西,3,3,逃げ,04,2,5056,西岡成美,41,71,6.61,2,0.12,1.53.6
唐津,9,予選,晴,西,3,3,逃げ,05,6,5092,篠原晟弥,58,80,6.65,6,0.19,1.54.5
唐津,9,予選,晴,西,3,3,逃げ,06,3,5016,宮田龍馬,59,46,6.64,3,0.11,1.54.6
唐津,10,予選,晴,北西,2,2,まくり,01,3,5121,定松勇樹,18,76,6.69,2,0.15,1.49.6
唐津,10,予選,晴,北西,2,2,まくり,02,2,5055,眞鳥章太,61,88,6.64,3,0.18,1.50.3
唐津,10,予選,晴,北西,2,2,まくり,03,4,5043,中村日向,24,89,6.67,4,0.18,1.51.8
唐津,10,予選,晴,北西,2,2,まくり,04,6,4877,鈴谷一平,22,65,6.70,6,0.22,1.53.7
唐津,10,予選,晴,北西,2,2,まくり,05,1,5073,上原健次郎,69,60,6.66,1,0.17,1.54.3
唐津,10,予選,晴,北西,2,2,まくり,06,5,5161,登玉隼百,48,61,6.68,5,0.29,1.55.7
唐津,11,予選,晴,北西,1,1,逃げ,01,1,4932,新開航,33,72,6.56,1,0.06,1.48.8
唐津,11,予選,晴,北西,1,1,逃げ,02,5,5142,常住蓮,53,37,6.59,5,0.15,1.50.1
唐津,11,予選,晴,北西,1,1,逃げ,03,3,5060,数原魁,67,51,6.60,3,0.15,1.52.8
唐津,11,予選,晴,北西,1,1,逃げ,04,6,5222,津田陸翔,45,40,6.61,6,0.13,1.53.7
唐津,11,予選,晴,北西,1,1,逃げ,05,2,5105,富田恕生,40,77,6.65,2,0.11,1.54.1
唐津,11,予選,晴,北西,1,1,逃げ,06,4,5126,山下大輝,34,83,6.66,4,0.12,1.55.6
唐津,12,予選,晴,西,2,2,逃げ,01,1,5084,末永和也,37,81,6.56,1,0.16,1.48.4
唐津,12,予選,晴,西,2,2,逃げ,02,4,4957,竹之内極,44,35,6.65,4,0.14,1.50.7
唐津,12,予選,晴,西,2,2,逃げ,03,5,5015,高橋竜矢,28,34,6.73,5,0.17,1.52.2
唐津,12,予選,晴,西,2,2,逃げ,04,2,4852,川原祐明,64,47,6.68,2,0.19,1.54.3
唐津,12,予選,晴,西,2,2,逃げ,05,3,5012,加倉侑征,16,82,6.68,3,0.15,1.56.0
唐津,12,予選,晴,西,2,2,逃げ,06,6,5081,篠原飛翔,27,39,6.64,6,0.18,2.00.4
福岡,1,カタメン１一,晴,北西,3,3,逃げ,01,1,4142,平野和明,35,140,7.09,1,0.27,1.52.6
福岡,1,カタメン１一,晴,北西,3,3,逃げ,02,3,4202,浮田圭浩,57,163,7.03,3,0.28,1.53.5
福岡,1,カタメン１一,晴,北西,3,3,逃げ,03,2,4046,谷村啓司,63,166,7.04,2,0.31,1.55.0
福岡,1,カタメン１一,晴,北西,3,3,逃げ,04,5,5270,小玉啓太,68,156,7.10,5,0.27,1.57.3
福岡,1,カタメン１一,晴,北西,3,3,逃げ,05,4,5135,仲航太,62,115,7.02,4,0.30,.  .
福岡,1,カタメン１一,晴,北西,3,3,逃げ,06,6,5309,森雄利,29,137,6.95,6,0.28,.  .
福岡,2,一般,晴,北西,4,4,抜き,01,1,4695,尾崎雄二,32,162,6.93,1,0.14,1.51.9
福岡,2,一般,晴,北西,4,4,抜き,02,2,3872,岡田憲行,16,158,7.06,2,0.15,1.53.2
福岡,2,一般,晴,北西,4,4,抜き,03,3,4035,杉江浩明,21,128,7.13,3,0.09,1.55.4
福岡,2,一般,晴,北西,4,4,抜き,04,5,3660,長谷川親王,55,142,7.06,5,0.10,1.56.7
福岡,2,一般,晴,北西,4,4,抜き,05,6,4619,伏田裕隆,45,105,7.08,6,0.09,.  .
福岡,2,一般,晴,北西,4,4,抜き,06,4,4970,井町泰,39,141,7.05,4,0.07,.  .
福岡,3,カタメン３一,晴,北,3,3,まくり,01,3,4607,鶴田勇雄,20,129,7.00,3,0.17,1.52.0
福岡,3,カタメン３一,晴,北,3,3,まくり,02,5,4560,庄司樹良々,46,106,7.05,5,0.19,1.52.9
福岡,3,カタメン３一,晴,北,3,3,まくり,03,1,3537,田山和広,25,103,6.98,1,0.25,1.54.3
福岡,3,カタメン３一,晴,北,3,3,まくり,04,4,3501,川上昇平,61,143,7.03,4,0.21,1.55.9
福岡,3,カタメン３一,晴,北,3,3,まくり,05,2,3372,加藤雅之,17,125,6.98,2,0.25,.  .
福岡,3,カタメン３一,晴,北,3,3,まくり,06,6,5268,山本幸也,67,171,7.06,6,0.28,.  .
福岡,4,一般,晴,北,4,4,逃げ,01,1,3315,広瀬聖仁,47,169,7.00,1,0.08,1.52.4
福岡,4,一般,晴,北,4,4,逃げ,02,2,4151,下河誉史,48,134,6.92,2,0.08,1.54.0
福岡,4,一般,晴,北,4,4,逃げ,03,3,4379,桑島和宏,58,126,7.01,3,0.09,1.54.9
福岡,4,一般,晴,北,4,4,逃げ,04,6,3377,塚田修二,40,152,6.92,6,0.09,1.55.4
