レース場,レース番号,レース種別,艇番,登録番号,選手名,モーター番号,ボート番号,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム
芦屋,1,予選,1,5126,山下大輝,30,119,晴,南,2,2,6.81,01,逃げ,1,0.15,1.49.8
芦屋,1,予選,2,5172,田村慶,19,160,晴,南,2,2,6.81,02,逃げ,2,0.17,1.51.0
芦屋,1,予選,4,5055,眞鳥章太,33,154,晴,南,2,2,6.94,03,逃げ,4,0.16,1.52.6
芦屋,1,予選,5,5009,大賀龍之介,57,114,晴,南,2,2,6.89,04,逃げ,5,0.12,1.53.9
芦屋,1,予選,6,5060,数原魁,15,163,晴,南,2,2,6.85,05,逃げ,6,0.11,.  .
芦屋,2,予選,1,5181,森智哉,56,169,晴,西,4,4,6.89,01,逃げ,1,0.09,1.50.0
芦屋,2,予選,3,5161,登玉隼百,41,148,晴,西,4,4,6.85,02,逃げ,3,0.17,1.51.0
芦屋,2,予選,4,4938,小芦るり華,48,132,晴,西,4,4,6.81,03,逃げ,4,0.17,1.52.2
芦屋,2,予選,2,5163,清水愛海,17,164,晴,西,4,4,6.83,04,逃げ,2,0.15,1.52.3
芦屋,2,予選,6,5145,島川海輝,5,115,晴,西,4,4,6.79,05,逃げ,6,0.19,.  .
芦屋,2,予選,5,5014,梶山涼斗,18,129,晴,西,4,4,6.78,06,逃げ,5,0.13,.  .
芦屋,3,予選,5,5058,前原大道,55,133,晴,南西,4,4,6.88,01,差し,3,0.11,1.49.0
芦屋,3,予選,3,5222,津田陸翔,45,124,晴,南西,4,4,6.81,02,差し,5,0.17,1.50.3
芦屋,3,予選,4,4931,木谷賢太,60,112,晴,南西,4,4,6.88,03,差し,2,0.14,1.50.8
芦屋,3,予選,6,5012,加倉侑征,37,135,晴,南西,4,4,6.95,04,差し,6,0.19,1.53.2
芦屋,3,予選,1,5241,門田栞,25,150,晴,南西,4,4,6.84,05,差し,1,0.17,.  .
芦屋,3,予選,2,5015,高橋竜矢,7,140,晴,南西,4,4,6.90,06,差し,4,0.17,.  .
芦屋,4,予選,2,5053,山口広樹,53,138,晴,南西,3,3,6.83,01,まくり,2,0.19,1.49.7
芦屋,4,予選,5,5142,常住蓮,24,141,晴,南西,3,3,6.83,02,まくり,5,0.23,1.50.9
