日付,レース場,レース番号,舟券種,組合せ,払戻金
2022-02-25,唐津,1,単勝,1,100
2022-02-25,唐津,1,複勝,1,100
2022-02-25,唐津,1,複勝,3,200
2022-02-25,唐津,1,２連単,1-3,240
2022-02-25,唐津,1,２連複,1-3,240
2022-02-25,唐津,1,拡連複,1-3,130
2022-02-25,唐津,1,３連単,1-3-5,500
2022-02-25,唐津,1,３連複,1-3-5,250
2022-02-25,唐津,2,単勝,1,140
2022-02-25,唐津,2,複勝,1,110
2022-02-25,唐津,2,複勝,2,140
2022-02-25,唐津,2,２連単,1-2,190
2022-02-25,唐津,2,２連複,1-2,130
2022-02-25,唐津,2,拡連複,1-2,100
2022-02-25,唐津,2,３連単,1-2-4,480
2022-02-25,唐津,2,３連複,1-2-4,280
2022-02-25,唐津,3,単勝,2,970
2022-02-25,唐津,3,複勝,2,280
2022-02-25,唐津,3,複勝,1,110
2022-02-25,唐津,3,２連単,2-1,3630
2022-02-25,唐津,3,２連複,1-2,810
2022-02-25,唐津,3,拡連複,1-2,220
2022-02-25,唐津,3,３連単,2-1-3,6090
2022-02-25,唐津,3,３連複,1-2-3,240
2022-02-25,唐津,4,単勝,2,470
2022-02-25,唐津,4,複勝,2,210
2022-02-25,唐津,4,複勝,5,130
2022-02-25,唐津,4,２連単,2-5,1210
2022-02-25,唐津,4,２連複,2-5,680
2022-02-25,唐津,4,拡連複,2-5,210
2022-02-25,唐津,4,３連単,2-5-3,9840
2022-02-25,唐津,4,３連複,2-3-5,3370
2022-02-25,唐津,5,単勝,3,260
2022-02-25,唐津,5,複勝,3,280
2022-02-25,唐津,5,複勝,2,210
2022-02-25,唐津,5,２連単,3-2,850
2022-02-25,唐津,5,２連複,2-3,300
2022-02-25,唐津,5,拡連複,2-3,170
2022-02-25,唐津,5,３連単,3-2-4,2440
2022-02-25,唐津,5,３連複,2-3-4,700
2022-02-25,唐津,6,単勝,2,710
2022-02-25,唐津,6,複勝,2,250
2022-02-25,唐津,6,複勝,6,250
2022-02-25,唐津,6,２連単,2-6,3600
2022-02-25,唐津,6,２連複,2-6,2190
2022-02-25,唐津,6,拡連複,2-6,410
2022-02-25,唐津,6,３連単,2-6-3,13070
2022-02-25,唐津,6,３連複,2-3-6,580
2022-02-25,唐津,7,単勝,1,190
2022-02-25,唐津,7,複勝,1,250
2022-02-25,唐津,7,複勝,2,170
2022-02-25,唐津,7,２連単,1-2,310
2022-02-25,唐津,7,２連複,1-2,300
2022-02-25,唐津,7,拡連複,1-2,190
2022-02-25,唐津,7,３連単,1-2-3,1160
2022-02-25,唐津,7,３連複,1-2-3,520
2022-02-25,唐津,8,単勝,4,300
2022-02-25,唐津,8,複勝,4,200
2022-02-25,唐津,8,複勝,2,120
2022-02-25,唐津,8,２連単,4-2,670
2022-02-25,唐津,8,２連複,2-4,270
2022-02-25,唐津,8,拡連複,2-4,120
2022-02-25,唐津,8,３連単,4-2-3,1530
2022-02-25,唐津,8,３連複,2-3-4,280
2022-02-25,唐津,9,単勝,3,450
2022-02-25,唐津,9,複勝,3,170
2022-02-25,唐津,9,複勝,5,370
2022-02-25,唐津,9,２連単,3-5,2810
2022-02-25,唐津,9,２連複,3-5,2150
2022-02-25,唐津,9,拡連複,3-5,770
2022-02-25,唐津,9,３連単,3-5-2,11740
2022-02-25,唐津,9,３連複,2-3-5,2020
2022-02-25,唐津,10,単勝,1,100
2022-02-25,唐津,10,複勝,1,100
2022-02-25,唐津,10,複勝,5,300
2022-02-25,唐津,10,２連単,1-5,810
2022-02-25,唐津,10,２連複,1-5,540
2022-02-25,唐津,10,拡連複,1-5,250
2022-02-25,唐津,10,３連単,1-5-2,2650
2022-02-25,唐津,10,３連複,1-2-5,580
2022-02-25,唐津,11,単勝,1,140
2022-02-25,唐津,11,複勝,1,100
2022-02-25,唐津,11,複勝,2,170
2022-02-25,唐津,11,２連単,1-2,190
2022-02-25,唐津,11,２連複,1-2,300
2022-02-25,唐津,11,拡連複,1-2,140
2022-02-25,唐津,11,３連単,1-2-5,1740
2022-02-25,唐津,11,３連複,1-2-5,770
2022-02-25,唐津,12,単勝,1,110
2022-02-25,唐津,12,複勝,1,100
2022-02-25,唐津,12,複勝,3,100
2022-02-25,唐津,12,２連単,1-3,340
2022-02-25,唐津,12,２連複,1-3,450
2022-02-25,唐津,12,拡連複,1-3,220
2022-02-25,唐津,12,３連単,1-3-4,1230
2022-02-25,唐津,12,３連複,1-3-4,780
2022-02-25,福岡,1,単勝,1,100
2022-02-25,福岡,1,複勝,1,100
2022-02-25,福岡,1,複勝,2,110
2022-02-25,福岡,1,２連単,1-2,240
2022-02-25,福岡,1,２連複,1-2,220
2022-02-25,福岡,1,拡連複,1-2,130
2022-02-25,福岡,1,３連単,1-2-4,580
2022-02-25,福岡,1,３連複,1-2-4,370
2022-02-25,福岡,2,単勝,2,100
2022-02-25,福岡,2,複勝,2,130
2022-02-25,福岡,2,複勝,3,130
2022-02-25,福岡,2,２連単,2-3,350
2022-02-25,福岡,2,２連複,2-3,510
2022-02-25,福岡,2,拡連複,2-3,110
2022-02-25,福岡,2,３連単,2-3-5,1030
2022-02-25,福岡,2,３連複,2-3-5,320
2022-02-25,福岡,3,単勝,1,160
2022-02-25,福岡,3,複勝,1,140
2022-02-25,福岡,3,複勝,2,600
2022-02-25,福岡,3,２連単,1-2,390
2022-02-25,福岡,3,２連複,1-2,280
2022-02-25,福岡,3,拡連複,1-2,380
2022-02-25,福岡,3,３連単,1-2-3,2780
2022-02-25,福岡,3,３連複,1-2-3,1170
2022-02-25,福岡,4,単勝,2,300
2022-02-25,福岡,4,複勝,2,110
2022-02-25,福岡,4,複勝,1,100
2022-02-25,福岡,4,２連単,2-1,1080
2022-02-25,福岡,4,２連複,1-2,240
2022-02-25,福岡,4,拡連複,1-2,110
2022-02-25,福岡,4,３連単,2-1-3,5840
2022-02-25,福岡,4,３連複,1-2-3,920
2022-02-25,福岡,5,単勝,3,1390
2022-02-25,福岡,5,複勝,3,140
2022-02-25,福岡,5,複勝,2,170
2022-02-25,福岡,5,２連単,3-2,2190
2022-02-25,福岡,5,２連複,2-3,840
2022-02-25,福岡,5,拡連複,2-3,980
2022-02-25,福岡,5,３連単,3-2-4,5560
2022-02-25,福岡,5,３連複,2-3-4,1670
2022-02-25,福岡,6,単勝,5,610
2022-02-25,福岡,6,複勝,5,220
2022-02-25,福岡,6,複勝,6,120
2022-02-25,福岡,6,２連単,5-6,1410
2022-02-25,福岡,6,２連複,5-6,810
2022-02-25,福岡,6,拡連複,5-6,470
2022-02-25,福岡,6,３連単,5-6-4,4900
2022-02-25,福岡,6,３連複,4-5-6,700
2022-02-25,福岡,7,単勝,5,470
2022-02-25,福岡,7,複勝,5,190
2022-02-25,福岡,7,複勝,6,320
2022-02-25,福岡,7,２連単,5-6,2370
2022-02-25,福岡,7,２連複,5-6,1120
2022-02-25,福岡,7,拡連複,5-6,250
2022-02-25,福岡,7,３連単,5-6-1,8310
2022-02-25,福岡,7,３連複,1-5-6,780
2022-02-25,福岡,8,単勝,1,160
2022-02-25,福岡,8,複勝,1,100
2022-02-25,福岡,8,複勝,2,150
2022-02-25,福岡,8,２連単,1-2,160
2022-02-25,福岡,8,２連複,1-2,260
2022-02-25,福岡,8,拡連複,1-2,200
2022-02-25,福岡,8,３連単,1-2-4,640
2022-02-25,福岡,8,３連複,1-2-4,470
2022-02-25,福岡,9,単勝,4,2430
2022-02-25,福岡,9,複勝,4,240
2022-02-25,福岡,9,複勝,1,110
2022-02-25,福岡,9,２連単,4-1,9330
2022-02-25,福岡,9,２連複,1-4,1770
2022-02-25,福岡,9,拡連複,1-4,530
2022-02-25,福岡,9,３連単,4-1-2,36720
2022-02-25,福岡,9,３連複,1-2-4,1620
2022-02-25,福岡,10,単勝,4,380
2022-02-25,福岡,10,複勝,4,210
2022-02-25,福岡,10,複勝,2,730
2022-02-25,福岡,10,２連単,4-2,2730
2022-02-25,福岡,10,２連複,2-4,1180
2022-02-25,福岡,10,拡連複,2-4,240
2022-02-25,福岡,10,３連単,4-2-1,4060
2022-02-25,福岡,10,３連複,1-2-4,210
2022-02-25,福岡,11,単勝,1,230
2022-02-25,福岡,11,複勝,1,120
2022-02-25,福岡,11,複勝,2,110
2022-02-25,福岡,11,２連単,1-2,290
2022-02-25,福岡,11,２連複,1-2,200
2022-02-25,福岡,11,拡連複,1-2,190
2022-02-25,福岡,11,３連単,1-2-3,910
2022-02-25,福岡,11,３連複,1-2-3,320
2022-02-25,福岡,12,単勝,1,100
2022-02-25,福岡,12,複勝,1,110
2022-02-25,福岡,12,複勝,2,190
2022-02-25,福岡,12,２連単,1-2,490
2022-02-25,福岡,12,２連複,1-2,430
2022-02-25,福岡,12,拡連複,1-2,150
2022-02-25,福岡,12,３連単,1-2-5,1610
2022-02-25,福岡,12,３連複,1-2-5,670
2022-02-25,芦屋,1,単勝,1,100
2022-02-25,芦屋,1,複勝,1,100
2022-02-25,芦屋,1,複勝,3,160
2022-02-25,芦屋,1,２連単,1-3,180
2022-02-25,芦屋,1,２連複,1-3,190
2022-02-25,芦屋,1,拡連複,1-3,120
2022-02-25,芦屋,1,３連単,1-3-4,800
2022-02-25,芦屋,1,３連複,1-3-4,550
2022-02-25,芦屋,2,単勝,1,100
2022-02-25,芦屋,2,複勝,1,100
2022-02-25,芦屋,2,複勝,4,100
2022-02-25,芦屋,2,２連単,1-4,270
2022-02-25,芦屋,2,２連複,1-4,170
2022-02-25,芦屋,2,拡連複,1-4,120
2022-02-25,芦屋,2,３連単,1-4-2,650
2022-02-25,芦屋,2,３連複,1-2-4,230
2022-02-25,芦屋,3,単勝,1,100
2022-02-25,芦屋,3,複勝,1,100
2022-02-25,芦屋,3,複勝,3,170
2022-02-25,芦屋,3,２連単,1-3,450
2022-02-25,芦屋,3,２連複,1-3,290
2022-02-25,芦屋,3,拡連複,1-3,190
2022-02-25,芦屋,3,３連単,1-3-5,1190
2022-02-25,芦屋,3,３連複,1-3-5,390
2022-02-25,芦屋,4,単勝,1,110
2022-02-25,芦屋,4,複勝,1,100
2022-02-25,芦屋,4,複勝,3,130
2022-02-25,芦屋,4,２連単,1-3,190
2022-02-25,芦屋,4,２連複,1-3,230
2022-02-25,芦屋,4,拡連複,1-3,120
2022-02-25,芦屋,4,３連単,1-3-4,450
2022-02-25,芦屋,4,３連複,1-3-4,240
2022-02-25,芦屋,5,単勝,1,110
2022-02-25,芦屋,5,複勝,1,150
2022-02-25,芦屋,5,複勝,3,410
2022-02-25,芦屋,5,２連単,1-3,220
2022-02-25,芦屋,5,２連複,1-3,290
2022-02-25,芦屋,5,拡連複,1-3,120
2022-02-25,芦屋,5,３連単,1-3-4,690
