日付,レース場,レース番号,券種, 1-2-3, 2-1-3, 3-1-2, 4-1-2, 5-1-2, 6-1-2, 1-2-4, 2-1-4, 3-1-4, 4-1-3, 5-1-3, 6-1-3, 1-2-5, 2-1-5, 3-1-5, 4-1-5, 5-1-4, 6-1-4, 1-2-6, 2-1-6, 3-1-6, 4-1-6, 5-1-6, 6-1-5, 1-3-2, 2-3-1, 3-2-1, 4-2-1, 5-2-1, 6-2-1, 1-3-4, 2-3-4, 3-2-4, 4-2-3, 5-2-3, 6-2-3, 1-3-5, 2-3-5, 3-2-5, 4-2-5, 5-2-4, 6-2-4, 1-3-6, 2-3-6, 3-2-6, 4-2-6, 5-2-6, 6-2-5, 1-4-2, 2-4-1, 3-4-1, 4-3-1, 5-3-1, 6-3-1, 1-4-3, 2-4-3, 3-4-2, 4-3-2, 5-3-2, 6-3-2, 1-4-5, 2-4-5, 3-4-5, 4-3-5, 5-3-4, 6-3-4, 1-4-6, 2-4-6, 3-4-6, 4-3-6, 5-3-6, 6-3-5, 1-5-2, 2-5-1, 3-5-1, 4-5-1, 5-4-1, 6-4-1, 1-5-3, 2-5-3, 3-5-2, 4-5-2, 5-4-2, 6-4-2, 1-5-4, 2-5-4, 3-5-4, 4-5-3, 5-4-3, 6-4-3, 1-5-6, 2-5-6, 3-5-6, 4-5-6, 5-4-6, 6-4-5, 1-6-2, 2-6-1, 3-6-1, 4-6-1, 5-6-1, 6-5-1, 1-6-3, 2-6-3, 3-6-2, 4-6-2, 5-6-2, 6-5-2, 1-6-4, 2-6-4, 3-6-4, 4-6-3, 5-6-3, 6-5-3, 1-6-5, 2-6-5, 3-6-5, 4-6-5, 5-6-4, 6-5-4
2025-05-30,唐津,1,3連単,20.1,253.9,159.8,198.3,45.9,1359,28.8,321.3,80.8,140.4,25.1,1521,20.8,281.6,61.8,72.0,30.9,1302,98.7,640.3,423.9,270.7,50.3,824.6,16.1,607.5,468.4,575.0,178.4,3070,8.2,1469,881.7,1064,494.0,4912,7.1,1457,779.7,679.5,535.6,5372,70.7,3306,2665,2624,585.7,4093,28.9,965.9,192.4,291.4,79.5,3274,15.4,1976,744.2,1067,319.8,4983,12.4,1621,248.4,348.3,189.5,4710,64.5,3820,960.5,1142,312.6,3737,19.3,647.5,126.6,100.0,78.4,1868,8.9,1548,499.0,373.3,307.2,4584,12.6,1426,237.8,245.7,201.9,4775,30.4,2990,663.8,250.9,201.2,1790,236.4,2865,1685,662.5,139.2,863.9,212.3,4775,3306,2371,444.2,2084,195.9,4584,2865,1677,372.5,2339,108.2,3863,1693,671.6,319.8,1508
2025-05-30,唐津,2,3連単,7.5,29.2,45.4,55.2,3740,871.1,9.0,27.9,28.8,48.1,3117,748.1,353.2,509.5,544.4,719.3,4968,841.1,45.5,123.3,87.7,122.5,6624,4478,7.0,56.5,84.8,85.7,4608,1364,5.0,62.5,86.9,116.8,6114,1528,217.4,1092,987.4,1347,6359,1691,22.9,198.3,205.1,230.2,8153,6489,11.3,65.1,67.2,90.8,4968,1077,9.7,82.9,102.4,140.1,7226,1551,352.1,1246,1186,1438,6234,1059,33.7,233.1,168.7,230.2,6624,7226,1353,2320,2838,2838,6489,924.3,954.8,4076,3654,2838,6624,1341,1029,3654,3740,3830,5482,1067,1962,5389,6114,3830,7226,6489,141.5,488.4,323.1,200.2,8593,7949,105.4,596.5,460.8,284.1,4183,7755,130.4,651.5,391.1,303.4,9351,9999,1104,4296,4024,1859,9635,7755
2025-05-30,唐津,3,3連単,7.8,61.9,68.8,91.0,100.2,3390,9.8,70.6,48.0,101.9,98.0,2985,10.8,69.4,47.1,66.1,108.7,2282,163.0,462.5,321.5,274.3,265.1,2886,11.4,161.7,155.5,223.1,210.2,4989,11.4,351.3,266.2,388.4,412.8,6467,11.1,355.6,220.2,287.6,404.2,5373,124.3,1632,1375,1061,972.8,6467,16.6,208.0,115.4,204.2,212.1,3527,17.8,369.9,223.3,399.1,448.9,5725,15.4,323.3,129.6,251.9,370.3,4420,118.2,1425,730.6,831.5,916.6,6021,18.0,224.4,102.5,89.5,158.8,2728,18.3,461.3,216.2,166.3,312.9,6467,24.1,410.8,160.1,167.9,300.5,2666,116.3,1609,624.7,255.4,443.7,2839,614.8,1781,1728,694.3,729.1,3358,498.2,3390,3457,1348,1322,5725,481.0,3358,2549,1308,1229,5291,399.1,3010,2116,702.7,936.3,2771
2025-05-30,唐津,4,3連単,73.5,48.7,166.0,36.8,156.5,2475,43.1,31.8,94.0,52.2,210.4,3204,78.9,46.8,127.1,29.8,121.0,2038,312.2,253.3,476.0,103.8,290.8,2475,85.6,103.9,192.5,30.4,174.0,2216,46.4,55.6,83.1,30.4,159.2,2269,73.6,79.8,120.5,16.3,82.3,1258,355.6,317.4,430.8,59.3,214.9,1749,39.6,29.7,78.5,71.7,254.0,3435,47.3,30.3,64.8,52.9,193.4,2611,44.1,22.7,43.5,34.1,120.4,1850,216.6,125.0,169.6,111.7,337.7,2558,126.5,105.2,183.3,21.6,74.5,1356,120.6,109.2,150.8,14.4,50.0,839.8,96.8,59.8,81.7,22.4,74.4,1105,366.9,226.1,304.5,23.7,68.2,629.1,932.2,666.5,1166,152.3,453.3,2154,1222,738.9,985.2,120.5,360.3,1501,612.0,479.6,672.4,196.5,495.8,1945,962.8,605.2,761.0,89.4,247.5,767.1
2025-05-30,唐津,5,3連単,10.8,52.1,60.3,367.6,1529,65.3,22.0,94.8,80.8,283.4,1312,46.5,74.0,248.4,226.7,650.7,1864,82.5,9.9,36.2,27.6,154.6,847.2,244.6,12.7,92.7,84.4,635.8,2066,136.1,16.5,200.1,186.8,824.3,3120,191.3,68.2,446.4,403.4,2012,3475,333.8,8.0,93.1,67.6,596.1,2216,871.3,38.6,250.8,162.0,353.5,1601,105.9,28.6,386.6,289.3,738.7,3219,199.1,111.8,1154,600.8,1442,2755,252.9,19.6,291.2,137.5,345.9,1560,664.8,209.7,868.8,593.8,849.5,2334,188.3,158.5,1576,1061,1536,3153,466.9,278.8,1727,1120,2012,3058,318.9,130.3,980.2,417.8,899.5,1998,873.8,15.9,101.3,54.9,182.1,1149,571.6,11.9,149.8,87.1,487.7,2184,1301,20.9,266.6,127.7,349.1,1864,1092,83.4,657.7,300.1,704.7,1506,1012
2025-05-30,唐津,6,3連単,68.7,122.7,77.2,135.6,400.2,1000,72.3,159.3,22.6,38.9,161.9,488.9,112.3,194.7,26.6,36.3,147.8,478.9,169.0,249.2,59.7,62.2,208.2,593.5,50.4,150.1,125.2,216.9,777.6,1271,11.1,150.4,99.7,147.3,582.7,1071,16.9,149.4,94.3,154.9,629.7,1142,50.9,228.2,163.0,194.7,628.1,956.2,56.2,225.0,25.7,46.8,187.2,461.8,16.0,197.5,76.9,114.6,407.8,887.2,21.4,255.6,17.8,30.3,104.7,361.5,54.2,296.7,47.9,55.0,192.6,309.9,150.7,421.1,51.6,36.4,123.7,468.5,47.9,301.9,112.0,118.8,348.4,925.3,51.6,513.2,33.3,33.3,101.9,368.2,101.6,486.2,65.4,38.5,121.6,337.4,347.0,651.9,179.1,135.2,459.3,665.4,162.4,529.0,329.3,322.7,791.9,1195,175.3,719.1,125.8,119.0,365.1,436.1,210.9,614.7,117.0,86.6,289.1,451.3
2025-05-30,唐津,7,3連単,21.0,57.3,53.3,92.0,73.3,3774,24.9,66.5,30.8,78.7,55.0,3774,16.3,43.8,25.2,53.4,60.6,4430,636.9,1101,725.2,697.9,722.7,3774,23.6,111.7,93.7,145.7,126.6,5095,13.1,152.6,122.0,193.7,180.3,3705,11.0,114.8,74.4,126.7,210.7,5363,510.7,2397,1358,1191,1306,5225,32.2,136.9,45.7,97.1,71.0,3341,20.8,168.5,107.7,167.0,141.1,4246,18.5,148.0,28.4,54.8,67.4,3774,559.9,2342,811.9,979.8,752.0,4076,24.2,101.5,37.6,51.8,77.2,2264,18.1,155.6,73.2,95.2,159.8,5508,22.4,173.1,32.9,53.7,74.8,2397,352.0,1978,763.3,421.0,604.7,4076,1727,2717,1592,1498,2264,3135,1349,4336,2485,2369,3088,5095,1959,4632,2455,2342,2017,5095,1367,4739,1941,1941,2123,4529
2025-05-30,唐津,8,3連単,42.9,103.9,149.7,110.1,1134,65.7,40.5,92.0,36.6,66.1,646.9,27.0,161.6,359.6,180.2,194.1,629.6,22.2,36.0,81.3,34.0,35.0,504.0,121.3,41.4,243.3,274.8,215.8,1768,142.0,12.0,429.5,411.2,470.4,2988,216.5,88.3,926.5,760.5,777.2,2001,197.9,13.7,387.9,325.9,174.9,1515,505.2,37.8,214.1,59.6,97.6,809.8,57.3,17.0,447.6,256.2,376.2,2040,193.9,96.1,918.5,245.8,303.9,1050,63.4,11.8,224.0,53.1,75.3,663.0,254.7,324.9,752.4,398.8,331.5,806.8,36.4,197.5,1433,819.2,677.9,1632,145.0,207.2,1548,423.5,405.7,1159,50.6,151.6,1066,344.4,231.1,558.3,174.0,36.1,203.2,55.8,39.3,495.7,256.2,16.6,409.6,246.4,114.3,855.6,467.3,12.3,295.9,61.5,61.8,584.5,359.6,78.0,771.6,252.0,147.7,507.6,302.6
2025-05-30,唐津,9,3連単,28.4,59.3,26.4,155.4,181.7,442.9,39.6,73.0,12.7,90.8,114.2,295.1,41.5,70.8,15.8,87.3,136.2,461.3,159.7,242.7,56.8,238.8,286.6,587.1,24.9,81.9,47.9,225.2,228.7,651.9,12.0,121.8,53.5,249.9,290.5,562.2,15.7,111.4,62.0,207.2,308.6,857.2,70.3,289.3,144.8,481.3,563.3,947.9,48.7,124.7,22.4,83.9,125.7,254.3,25.1,162.8,53.3,176.4,233.9,369.3,38.4,138.6,23.2,78.1,165.9,281.1,133.9,456.8,70.4,179.5,324.4,397.3,63.3,136.0,34.5,100.7,152.2,685.7,37.4,171.2,75.0,167.7,268.3,881.7,53.5,175.0,36.4,104.5,190.6,465.2,161.4,395.6,100.3,167.2,266.2,638.4,346.7,597.2,149.0,421.4,566.8,1002,209.4,535.1,231.4,644.4,961.0,1040,306.2,614.4,149.1,315.2,526.0,622.7,304.2,613.1,154.1,392.8,603.7,697.8
2025-05-30,唐津,10,3連単,8.4,11.0,62.2,84.3,194.9,518.1,9.5,10.4,93.5,138.0,357.3,1029,27.8,30.8,146.5,184.3,404.1,1058,36.7,31.8,193.6,214.6,420.6,1528,19.6,27.6,56.6,74.8,168.5,432.1,35.5,33.5,70.5,118.5,249.3,704.7,57.5,67.8,119.0,151.7,257.5,579.3,78.6,66.5,145.3,140.1,279.1,956.8,24.3,24.5,151.6,212.2,526.3,1551,45.0,36.2,132.5,193.9,433.4,1097,79.5,56.9,235.0,313.9,820.5,1919,88.0,50.1,320.6,386.9,762.0,1907,78.4,98.3,315.5,290.4,526.3,1151,117.4,125.6,283.6,222.3,366.1,779.9,162.7,126.9,361.2,377.2,798.6,1636,225.8,170.0,450.3,334.6,572.6,1871,163.3,170.1,620.0,401.4,637.2,1559,239.0,238.6,540.6,311.9,467.2,1109,275.2,170.7,718.2,562.9,771.9,1731,345.8,268.6,748.7,526.3,818.3,1826
