日付,レース場,レース番号,舟券種,組合せ,払戻金
2025-03-01,大村,1,単勝,2,210
2025-03-01,大村,1,複勝,2,120
2025-03-01,大村,1,複勝,5,170
2025-03-01,大村,1,２連単,2-5,610
2025-03-01,大村,1,２連複,2-5,530
2025-03-01,大村,1,拡連複,2-5,180
2025-03-01,大村,1,３連単,2-5-6,3510
2025-03-01,大村,1,３連複,2-5-6,1480
2025-03-01,大村,2,単勝,3,270
2025-03-01,大村,2,複勝,3,110
2025-03-01,大村,2,複勝,6,290
2025-03-01,大村,2,２連単,3-6,1750
2025-03-01,大村,2,２連複,3-6,1840
2025-03-01,大村,2,拡連複,3-6,260
2025-03-01,大村,2,３連単,3-6-2,8090
2025-03-01,大村,2,３連複,2-3-6,1890
2025-03-01,大村,3,単勝,1,270
2025-03-01,大村,3,複勝,1,120
2025-03-01,大村,3,複勝,4,140
2025-03-01,大村,3,２連単,1-4,520
2025-03-01,大村,3,２連複,1-4,360
2025-03-01,大村,3,拡連複,1-4,130
2025-03-01,大村,3,３連単,1-4-6,1130
2025-03-01,大村,3,３連複,1-4-6,360
2025-03-01,大村,4,単勝,2,460
2025-03-01,大村,4,複勝,2,130
2025-03-01,大村,4,複勝,4,130
2025-03-01,大村,4,２連単,2-4,760
2025-03-01,大村,4,２連複,2-4,440
2025-03-01,大村,4,拡連複,2-4,150
2025-03-01,大村,4,３連単,2-4-1,2950
2025-03-01,大村,4,３連複,1-2-4,370
2025-03-01,大村,5,単勝,4,720
2025-03-01,大村,5,複勝,4,870
2025-03-01,大村,5,複勝,2,300
2025-03-01,大村,5,２連単,4-2,11220
2025-03-01,大村,5,２連複,2-4,5000
2025-03-01,大村,5,拡連複,2-4,1930
2025-03-01,大村,5,３連単,4-2-6,51210
2025-03-01,大村,5,３連複,2-4-6,12670
2025-03-01,大村,6,単勝,1,180
2025-03-01,大村,6,複勝,1,140
2025-03-01,大村,6,複勝,5,130
2025-03-01,大村,6,２連単,1-5,1170
2025-03-01,大村,6,２連複,1-5,910
2025-03-01,大村,6,拡連複,1-5,160
2025-03-01,大村,6,３連単,1-5-2,1580
2025-03-01,大村,6,３連複,1-2-5,210
2025-03-01,大村,7,単勝,1,120
2025-03-01,大村,7,複勝,1,100
2025-03-01,大村,7,複勝,6,150
2025-03-01,大村,7,２連単,1-6,1290
2025-03-01,大村,7,２連複,1-6,900
2025-03-01,大村,7,拡連複,1-6,300
2025-03-01,大村,7,３連単,1-6-4,3540
2025-03-01,大村,7,３連複,1-4-6,810
2025-03-01,大村,8,単勝,1,120
2025-03-01,大村,8,複勝,1,120
2025-03-01,大村,8,複勝,5,200
2025-03-01,大村,8,２連単,1-5,710
2025-03-01,大村,8,２連複,1-5,910
2025-03-01,大村,8,拡連複,1-5,210
2025-03-01,大村,8,３連単,1-5-3,2070
2025-03-01,大村,8,３連複,1-3-5,460
2025-03-01,大村,9,単勝,1,140
2025-03-01,大村,9,複勝,1,100
2025-03-01,大村,9,複勝,3,110
2025-03-01,大村,9,２連単,1-3,190
2025-03-01,大村,9,２連複,1-3,130
2025-03-01,大村,9,拡連複,1-3,110
2025-03-01,大村,9,３連単,1-3-2,480
2025-03-01,大村,9,３連複,1-2-3,260
2025-03-01,大村,10,単勝,1,120
2025-03-01,大村,10,複勝,1,110
2025-03-01,大村,10,複勝,5,250
2025-03-01,大村,10,２連単,1-5,1620
2025-03-01,大村,10,２連複,1-5,660
2025-03-01,大村,10,拡連複,1-5,380
2025-03-01,大村,10,３連単,1-5-3,3700
2025-03-01,大村,10,３連複,1-3-5,740
2025-03-01,大村,11,単勝,1,100
2025-03-01,大村,11,複勝,1,100
2025-03-01,大村,11,複勝,3,220
2025-03-01,大村,11,２連単,1-3,360
2025-03-01,大村,11,２連複,1-3,250
2025-03-01,大村,11,拡連複,1-3,130
2025-03-01,大村,11,３連単,1-3-5,1350
2025-03-01,大村,11,３連複,1-3-5,860
2025-03-01,大村,12,単勝,1,150
2025-03-01,大村,12,複勝,1,100
2025-03-01,大村,12,複勝,4,100
2025-03-01,大村,12,２連単,1-4,350
2025-03-01,大村,12,２連複,1-4,180
2025-03-01,大村,12,拡連複,1-4,110
2025-03-01,大村,12,３連単,1-4-2,1090
2025-03-01,大村,12,３連複,1-2-4,390
2025-03-01,唐津,1,単勝,1,120
2025-03-01,唐津,1,複勝,1,100
2025-03-01,唐津,1,複勝,6,230
2025-03-01,唐津,1,２連単,1-6,1640
2025-03-01,唐津,1,２連複,1-6,1110
2025-03-01,唐津,1,拡連複,1-6,360
2025-03-01,唐津,1,３連単,1-6-3,10800
2025-03-01,唐津,1,３連複,1-3-6,2170
2025-03-01,唐津,2,単勝,1,130
2025-03-01,唐津,2,複勝,1,100
2025-03-01,唐津,2,複勝,2,110
2025-03-01,唐津,2,２連単,1-2,250
2025-03-01,唐津,2,２連複,1-2,200
2025-03-01,唐津,2,拡連複,1-2,110
2025-03-01,唐津,2,３連単,1-2-4,800
2025-03-01,唐津,2,３連複,1-2-4,460
2025-03-01,唐津,3,単勝,1,150
2025-03-01,唐津,3,複勝,1,110
2025-03-01,唐津,3,複勝,2,190
2025-03-01,唐津,3,２連単,1-2,350
2025-03-01,唐津,3,２連複,1-2,280
2025-03-01,唐津,3,拡連複,1-2,160
2025-03-01,唐津,3,３連単,1-2-6,1420
2025-03-01,唐津,3,３連複,1-2-6,690
2025-03-01,唐津,4,単勝,6,1350
2025-03-01,唐津,4,複勝,6,580
2025-03-01,唐津,4,複勝,1,110
2025-03-01,唐津,4,２連単,6-1,4840
2025-03-01,唐津,4,２連複,1-6,850
2025-03-01,唐津,4,拡連複,1-6,240
2025-03-01,唐津,4,３連単,6-1-2,20090
2025-03-01,唐津,4,３連複,1-2-6,530
2025-03-01,唐津,5,単勝,1,110
2025-03-01,唐津,5,複勝,1,210
2025-03-01,唐津,5,複勝,2,760
2025-03-01,唐津,5,２連単,1-2,510
2025-03-01,唐津,5,２連複,1-2,410
2025-03-01,唐津,5,拡連複,1-2,190
2025-03-01,唐津,5,３連単,1-2-6,1370
2025-03-01,唐津,5,３連複,1-2-6,510
2025-03-01,唐津,6,単勝,3,810
2025-03-01,唐津,6,複勝,3,1180
2025-03-01,唐津,6,複勝,4,490
2025-03-01,唐津,6,２連単,3-4,5000
2025-03-01,唐津,6,２連複,3-4,2480
2025-03-01,唐津,6,拡連複,3-4,380
2025-03-01,唐津,6,３連単,3-4-1,15030
2025-03-01,唐津,6,３連複,1-3-4,740
2025-03-01,唐津,7,単勝,1,140
2025-03-01,唐津,7,複勝,1,120
2025-03-01,唐津,7,複勝,4,210
2025-03-01,唐津,7,２連単,1-4,400
2025-03-01,唐津,7,２連複,1-4,350
