日付,レース場,レース番号,1着艇,2着艇,3着艇,1号艇_登録番号,1号艇_年齢,1号艇_支部,1号艇_体重,1号艇_級別,1号艇_全国勝率,1号艇_全国2連対率,1号艇_当地勝率,1号艇_当地2連対率,1号艇_モーター番号,1号艇_モーター2連対率,1号艇_ボート番号,1号艇_ボート2連対率,1号艇_展示タイム,1号艇_平均ST,1号艇_全体平均ST,1号艇_1着率,1号艇_2-3着率,2号艇_登録番号,2号艇_年齢,2号艇_支部,2号艇_体重,2号艇_級別,2号艇_全国勝率,2号艇_全国2連対率,2号艇_当地勝率,2号艇_当地2連対率,2号艇_モーター番号,2号艇_モーター2連対率,2号艇_ボート番号,2号艇_ボート2連対率,2号艇_展示タイム,2号艇_平均ST,2号艇_全体平均ST,2号艇_1着率,2号艇_2-3着率,3号艇_登録番号,3号艇_年齢,3号艇_支部,3号艇_体重,3号艇_級別,3号艇_全国勝率,3号艇_全国2連対率,3号艇_当地勝率,3号艇_当地2連対率,3号艇_モーター番号,3号艇_モーター2連対率,3号艇_ボート番号,3号艇_ボート2連対率,3号艇_展示タイム,3号艇_平均ST,3号艇_全体平均ST,3号艇_1着率,3号艇_2-3着率,4号艇_登録番号,4号艇_年齢,4号艇_支部,4号艇_体重,4号艇_級別,4号艇_全国勝率,4号艇_全国2連対率,4号艇_当地勝率,4号艇_当地2連対率,4号艇_モーター番号,4号艇_モーター2連対率,4号艇_ボート番号,4号艇_ボート2連対率,4号艇_展示タイム,4号艇_平均ST,4号艇_全体平均ST,4号艇_1着率,4号艇_2-3着率,5号艇_登録番号,5号艇_年齢,5号艇_支部,5号艇_体重,5号艇_級別,5号艇_全国勝率,5号艇_全国2連対率,5号艇_当地勝率,5号艇_当地2連対率,5号艇_モーター番号,5号艇_モーター2連対率,5号艇_ボート番号,5号艇_ボート2連対率,5号艇_展示タイム,5号艇_平均ST,5号艇_全体平均ST,5号艇_1着率,5号艇_2-3着率,6号艇_登録番号,6号艇_年齢,6号艇_支部,6号艇_体重,6号艇_級別,6号艇_全国勝率,6号艇_全国2連対率,6号艇_当地勝率,6号艇_当地2連対率,6号艇_モーター番号,6号艇_モーター2連対率,6号艇_ボート番号,6号艇_ボート2連対率,6号艇_展示タイム,6号艇_平均ST,6号艇_全体平均ST,6号艇_1着率,6号艇_2-3着率,1号艇が勝つか,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇以外で予測1着艇
2025-03-02,唐津,8,3,1,4,4645.0,44.0,群馬,53.0,A1,6.34,45.6,7.14,54.55,27.0,27.83,80.0,35.32,6.81,0.1359615384615384,0.1435294117647058,0.0555555555555555,0.3055555555555556,4983.0,28.0,愛知,52.0,A1,6.6,50.72,7.04,60.0,53.0,33.06,85.0,35.98,6.76,0.1586363636363636,0.167610294117647,0.1034482758620689,0.2413793103448276,4886.0,28.0,岡山,55.0,A1,6.33,47.25,6.26,48.57,65.0,24.07,54.0,35.91,6.74,0.1617647058823529,0.1605529953917051,0.7142857142857143,0.2142857142857142,3623.0,50.0,佐賀,52.0,A1,7.41,63.81,7.91,72.15,26.0,30.36,75.0,30.05,6.74,0.153235294117647,0.1375103734439834,0.2978723404255319,0.3617021276595745,4344.0,40.0,三重,54.0,A1,7.12,49.11,6.44,22.22,70.0,36.07,32.0,37.44,6.85,0.1515555555555555,0.1387550200803212,0.0952380952380952,0.5714285714285714,4019,45,静岡,52,A1,7.65,61.9,6.48,48.15,38,29.52,35,30.14,6.82,0.2014285714285714,0.1742105263157894,0.1707317073170731,0.4390243902439024,0,0.21663319230873188,0.20709348333784408,0.4367339683331968,0.10222073718025129,0.03731861883997583,4
2025-03-02,唐津,9,1,2,5,4586.0,34.0,愛知,56.0,A1,6.82,41.38,7.42,38.46,12.0,41.44,61.0,34.88,6.85,0.1146428571428571,0.1253846153846153,0.0869565217391304,0.2391304347826087,5042.0,26.0,埼玉,54.0,A1,6.93,57.01,7.19,61.29,46.0,33.62,52.0,40.64,6.78,0.1429545454545454,0.1203831417624521,0.0263157894736842,0.1842105263157894,4397.0,38.0,大阪,52.0,A1,7.09,49.33,8.18,58.82,37.0,22.12,73.0,40.71,6.84,0.1319230769230769,0.1332666666666666,0.6190476190476191,0.2142857142857142,4959.0,28.0,大阪,52.0,A1,7.17,53.77,7.86,56.76,40.0,30.33,42.0,27.03,6.8,0.148095238095238,0.1535496183206107,0.1935483870967742,0.5806451612903226,4445.0,38.0,佐賀,55.0,A1,7.1,46.83,7.78,64.23,52.0,23.77,90.0,40.95,6.71,0.1270731707317073,0.1196268656716418,0.2142857142857142,0.5357142857142857,4604,36,愛知,52,A1,7.18,54.84,6.89,42.86,21,27.59,57,33.04,6.79,0.1409302325581395,0.1385433070866141,0.2857142857142857,0.3928571428571428,1,0.25048434343994014,0.2873638142209801,0.24390784722848144,0.1802803362682238,0.03796365884237458,3
2025-03-02,大村,1,4,1,6,4834.0,37.0,大阪,50.0,B1,4.67,25.0,4.0,20.0,22.0,43.04,57.0,32.1,7.0,0.18,0.17496,0.1111111111111111,0.4444444444444444,5011.0,27.0,長崎,53.0,B1,2.55,2.27,4.07,19.39,39.0,29.03,70.0,38.56,6.99,0.18,0.1599295774647887,0.0869565217391304,0.3478260869565217,5105.0,26.0,福岡,53.0,B1,5.38,36.54,5.15,30.77,53.0,39.74,43.0,37.5,7.02,0.1816279069767442,0.1691025641025641,0.0,0.2962962962962963,4303.0,41.0,愛知,52.0,B1,5.28,29.63,5.75,40.0,19.0,27.39,16.0,33.33,7.02,0.1785365853658536,0.1819047619047619,0.125,0.25,4041.0,45.0,山口,54.0,B1,3.82,20.27,4.75,37.5,12.0,26.17,55.0,21.94,7.01,0.230625,0.2202808988764045,0.0,0.2,5120,23,愛知,57,B1,4.89,29.76,4.65,35.0,36,37.34,23,32.08,6.99,0.1951851851851851,0.1697484276729559,0.0,0.2105263157894736,0,0.1385526067293492,0.5991240081477102,0.14403632880606987,0.06156370057402907,0.056723355742841555,3
2025-03-02,大村,2,3,2,4,4219.0,43.0,広島,54.0,B1,3.74,16.19,3.69,15.38,68.0,35.8,64.0,33.94,7.06,0.189,0.1877934272300469,0.1481481481481481,0.2962962962962963,3304.0,57.0,徳島,51.0,B1,6.0,43.84,5.92,40.45,29.0,39.87,27.0,28.03,7.0,0.1632653061224489,0.1638127090301003,0.0625,0.25,4773.0,31.0,福岡,50.0,A2,6.09,43.97,6.16,42.11,25.0,29.81,48.0,33.33,6.95,0.173469387755102,0.1723529411764706,0.0,0.4193548387096774,4251.0,42.0,山口,53.0,B1,4.94,29.36,4.59,28.13,18.0,44.08,34.0,23.13,7.02,0.2061363636363636,0.2031932773109243,0.03125,0.28125,3737.0,51.0,広島,53.0,A1,7.36,53.33,7.9,60.0,72.0,41.88,59.0,33.97,6.98,0.1693939393939394,0.1579253112033195,0.0344827586206896,0.1379310344827586,5325,21,大阪,52,B1,3.21,7.87,0.0,0.0,40,25.0,31,32.28,6.99,0.1575,0.1619209039548022,0.0,0.3333333333333333,0,0.377714628297337,0.25298018494074104,0.0712723195805491,0.2846245430100752,0.01340832417129782,2
2025-03-02,大村,3,1,6,4,4174.0,42.0,長崎,51.0,A1,6.64,43.75,6.43,46.31,35.0,19.86,35.0,24.66,7.03,0.134,0.1447422680412371,0.3620689655172414,0.4655172413793103,3467.0,56.0,東京,53.0,B1,3.7,15.71,3.38,12.5,48.0,38.13,11.0,27.33,7.0,0.1675,0.1851851851851851,0.0980392156862745,0.5686274509803921,5279.0,22.0,東京,52.0,B1,5.73,42.86,0.0,0.0,69.0,47.13,44.0,33.75,7.02,0.14625,0.1422966507177033,0.08,0.5,5035.0,26.0,埼玉,54.0,B1,4.55,20.97,5.78,33.33,65.0,30.32,75.0,35.19,6.99,0.1947368421052631,0.1768595041322314,0.0930232558139534,0.4418604651162791,4051.0,44.0,岡山,56.0,A1,7.06,56.19,6.14,42.86,54.0,33.97,30.0,34.19,7.05,0.1673529411764706,0.1569162995594713,0.1333333333333333,0.1777777777777777,5205,27,静岡,49,A2,5.79,35.16,4.64,28.57,14,28.66,25,28.38,6.92,0.1676315789473684,0.1630088495575221,0.0,0.2926829268292683,1,0.06281636037135685,0.6110601823598857,0.06996822594313154,0.22536311805218306,0.03079211327344273,3
2025-03-02,大村,4,4,3,6,5037.0,26.0,香川,53.0,A2,5.95,41.67,5.38,50.0,37.0,28.85,72.0,31.41,6.97,0.1483333333333333,0.1609885931558935,0.0,0.0,4603.0,37.0,長崎,53.0,B1,5.09,33.64,5.4,34.94,15.0,24.82,60.0,32.92,6.97,0.1205,0.1434955752212389,0.6142857142857143,0.2428571428571428,3757.0,53.0,広島,52.0,B1,5.39,31.11,4.9,22.58,61.0,30.82,53.0,36.91,7.01,0.1532432432432432,0.1647619047619047,0.2452830188679245,0.4528301886792453,4492.0,38.0,愛知,51.0,A1,5.62,38.1,4.27,18.18,27.0,46.15,20.0,34.81,7.01,0.162,0.1690055248618784,0.2222222222222222,0.2666666666666666,4410.0,38.0,岡山,52.0,B1,4.85,30.51,6.38,50.0,59.0,25.0,54.0,30.13,6.97,0.18925,0.1689430894308943,0.375,0.4,4630,38,愛知,53,A2,5.94,41.04,5.33,34.43,64,32.28,32,31.01,6.93,0.1528947368421052,0.1597991967871486,0.2391304347826087,0.4782608695652174,1,0.34435391995647596,0.2540855861471692,0.2422072706909157,0.09152253032622734,0.06783069287921187,2
2025-03-02,大村,5,1,5,6,4506.0,36.0,福岡,53.0,B1,5.71,42.75,0.0,0.0,51.0,29.56,41.0,32.28,6.97,0.1282978723404255,0.1352631578947368,0.2444444444444444,0.4666666666666667,3411.0,55.0,広島,52.0,B1,4.09,14.47,3.65,15.38,67.0,27.56,67.0,33.33,7.02,0.1717857142857143,0.1758285714285714,0.0,0.0,3746.0,49.0,岡山,53.0,A2,5.61,39.19,5.96,29.63,57.0,32.03,22.0,36.31,6.96,0.166,0.1723548387096774,0.5,0.0,4393.0,38.0,福岡,59.0,B1,4.16,18.67,4.74,17.95,76.0,31.88,17.0,32.1,7.09,0.1903333333333333,0.1811695906432748,0.0,1.0,4348.0,39.0,香川,56.0,A1,6.25,43.65,5.8,41.18,66.0,35.63,13.0,28.4,6.97,0.1617142857142857,0.1664230769230769,0.0,1.0,4214,40,岡山,55,A2,6.19,43.75,5.67,40.0,60,37.65,38,39.75,7.01,0.1636363636363636,0.1482553191489362,0.0,0.0,1,0.09558685143861553,0.4038364230032389,0.07002497444537743,0.3075429292096911,0.12300882190307685,3
2025-03-02,大村,6,1,5,3,4084.0,45.0,愛知,56.0,A1,6.69,45.52,7.57,57.14,23.0,33.12,24.0,32.91,6.98,0.1519696969696969,0.1547557003257328,0.0,0.5,4315.0,40.0,長崎,53.0,A2,5.03,32.41,6.0,44.67,49.0,36.77,47.0,42.14,6.94,0.1804761904761904,0.168095238095238,0.5185185185185185,0.2222222222222222,4041.0,45.0,山口,54.0,B1,3.82,20.27,4.75,37.5,12.0,26.17,55.0,21.94,7.03,0.2197142857142857,0.2202808988764045,0.125,0.5,4730.0,36.0,静岡,47.0,B1,4.81,22.58,5.58,38.46,58.0,28.08,56.0,31.48,7.04,0.184,0.1815642458100558,0.2083333333333333,0.3333333333333333,3679.0,51.0,埼玉,53.0,A1,6.48,46.15,5.13,12.5,46.0,26.0,62.0,44.3,7.0,0.1555882352941176,0.1602347417840375,0.2,0.2,5039,26,愛知,56,B1,4.98,30.63,6.22,44.44,41,33.33,19,27.08,7.08,0.1808,0.1677611940298507,0.0,0.1666666666666666,1,0.3332517243407911,0.12018400029861863,0.18480679431913605,0.22579964130508418,0.13595783973637013,2
2025-03-02,大村,8,2,1,6,4630.0,38.0,愛知,53.0,A2,5.94,41.04,5.33,34.43,64.0,32.28,32.0,31.01,6.95,0.1713043478260869,0.1597991967871486,0.0,0.15,4557.0,35.0,岡山,55.0,B1,5.67,39.81,4.75,18.75,55.0,31.68,39.0,36.94,7.0,0.1808108108108108,0.18,0.05,0.3,4853.0,30.0,岡山,44.0,B1,4.74,25.81,3.75,18.75,33.0,30.82,21.0,35.8,6.99,0.1934615384615384,0.1951698113207547,0.55,0.3,4549.0,36.0,福岡,52.0,A2,5.49,34.09,6.17,44.83,63.0,22.0,66.0,40.63,6.99,0.2033333333333333,0.1865079365079365,0.25,0.4,3566.0,54.0,福岡,50.0,B1,4.36,25.0,5.4,30.0,30.0,32.08,12.0,27.59,6.99,0.2078787878787878,0.1919138755980861,0.1176470588235294,0.2941176470588235,5035,26,埼玉,54,B1,4.55,20.97,5.78,33.33,65,30.32,75,35.19,6.97,0.1931578947368421,0.1768595041322314,0.0,0.6153846153846154,1,0.38984552300586794,0.19168915292292454,0.298663399498917,0.08210361282325129,0.03769831174903926,2
2025-03-02,大村,9,1,2,4,3737.0,51.0,広島,53.0,A1,7.36,53.33,7.9,60.0,72.0,41.88,59.0,33.97,7.03,0.1466101694915254,0.1579253112033195,0.0,0.5,4506.0,36.0,福岡,53.0,B1,5.71,42.75,0.0,0.0,51.0,29.56,41.0,32.28,7.02,0.148095238095238,0.1352631578947368,0.1904761904761904,0.238095238095238,4492.0,38.0,愛知,51.0,A1,5.62,38.1,4.27,18.18,27.0,46.15,20.0,34.81,6.98,0.184,0.1690055248618784,0.3870967741935484,0.3225806451612903,4348.0,39.0,香川,56.0,A1,6.25,43.65,5.8,41.18,66.0,35.63,13.0,28.4,6.98,0.1793023255813953,0.1664230769230769,0.075,0.325,4174.0,42.0,長崎,51.0,A1,6.64,43.75,6.43,46.31,35.0,19.86,35.0,24.66,7.06,0.1505,0.1447422680412371,0.0227272727272727,0.2727272727272727,4834,37,大阪,50,B1,4.67,25.0,4.0,20.0,22,43.04,57,32.1,7.02,0.1636111111111111,0.17496,0.1481481481481481,0.2962962962962963,1,0.31850150566861657,0.3275312972261804,0.2061412622392684,0.12534440060630575,0.022481534259628864,3
