ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,60,10,16,8,0.15566666666666668,9,0,0,0,1,0,19,19,7,0,0.18571428571428572
2014,çÇíÀê¥àÍ,2,53,4,6,11,0.18433962264150944,0,3,1,0,0,0,0,0,0,29,0.18571428571428572
2014,çÇíÀê¥àÍ,3,59,3,6,6,0.18627118644067797,0,1,1,0,1,0,0,0,0,0,0.18571428571428572
2014,çÇíÀê¥àÍ,4,56,3,6,9,0.18196428571428572,0,0,1,1,1,0,0,0,0,0,0.18571428571428572
2014,çÇíÀê¥àÍ,5,54,1,3,8,0.1988888888888889,0,0,0,1,0,0,0,0,0,0,0.18571428571428572
2014,çÇíÀê¥àÍ,6,47,0,2,9,0.21425531914893617,0,0,0,0,0,0,0,0,0,0,0.18571428571428572
2538,çÇã¥ìÒòN,1,57,5,11,11,0.20473684210526316,4,0,0,0,1,0,12,25,12,0,0.1965205479452055
2538,çÇã¥ìÒòN,2,65,6,7,8,0.18923076923076923,0,4,0,0,1,1,0,0,0,36,0.1965205479452055
2538,çÇã¥ìÒòN,3,68,0,4,16,0.19955882352941176,0,0,0,0,0,0,0,0,0,0,0.1965205479452055
2538,çÇã¥ìÒòN,4,66,1,6,13,0.18848484848484848,0,0,0,1,0,0,0,0,0,0,0.1965205479452055
2538,çÇã¥ìÒòN,5,60,1,4,7,0.19499999999999998,0,0,0,1,0,0,0,0,0,0,0.1965205479452055
2538,çÇã¥ìÒòN,6,49,0,5,4,0.20510204081632655,0,0,0,0,0,0,0,0,0,0,0.1965205479452055
2878,ïxéRçOçK,1,108,43,33,17,0.1685185185185185,36,0,0,0,7,0,15,24,15,0,0.1798679245283019
2878,ïxéRçOçK,2,95,6,29,28,0.17842105263157895,0,4,1,0,1,0,0,0,0,43,0.1798679245283019
2878,ïxéRçOçK,3,88,8,17,22,0.18818181818181817,0,1,3,3,1,0,0,0,0,0,0.1798679245283019
2878,ïxéRçOçK,4,80,9,15,22,0.178875,0,2,3,2,2,0,0,0,0,0,0.1798679245283019
2878,ïxéRçOçK,5,79,9,14,10,0.17075949367088608,0,2,1,6,0,0,0,0,0,0,0.1798679245283019
2878,ïxéRçOçK,6,80,0,8,13,0.19775,0,0,0,0,0,0,0,0,0,0,0.1798679245283019
2903,éRçËãB,1,14,3,3,2,0.17500000000000002,3,0,0,0,0,0,1,6,3,0,0.1825423728813559
2903,éRçËãB,2,23,2,6,4,0.15,0,1,1,0,0,0,0,0,0,15,0.1825423728813559
2903,éRçËãB,3,23,2,5,7,0.15260869565217391,0,2,0,0,0,0,0,0,0,0,0.1825423728813559
2903,éRçËãB,4,22,0,1,2,0.21045454545454545,0,0,0,0,0,0,0,0,0,0,0.1825423728813559
2903,éRçËãB,5,22,0,3,4,0.1890909090909091,0,0,0,0,0,0,0,0,0,0,0.1825423728813559
2903,éRçËãB,6,14,0,3,2,0.23857142857142857,0,0,0,0,0,0,0,0,0,0,0.1825423728813559
2930,êVó«àÍãK,1,20,9,5,3,0.20049999999999998,9,0,0,0,0,0,3,3,4,0,0.20401709401709403
2930,êVó«àÍãK,2,23,2,4,5,0.20869565217391303,0,2,0,0,0,0,0,0,0,14,0.20401709401709403
2930,êVó«àÍãK,3,25,1,5,7,0.18760000000000002,0,0,0,1,0,0,0,0,0,0,0.20401709401709403
2930,êVó«àÍãK,4,18,2,2,4,0.20555555555555557,0,1,0,1,0,0,0,0,0,0,0.20401709401709403
2930,êVó«àÍãK,5,15,0,3,0,0.20133333333333334,0,0,0,0,0,0,0,0,0,0,0.20401709401709403
2930,êVó«àÍãK,6,16,0,0,2,0.228125,0,0,0,0,0,0,0,0,0,0,0.20401709401709403
3022,êºéRè∏àÍ,1,18,8,4,4,0.1461111111111111,8,0,0,0,0,0,2,4,3,0,0.15269565217391304
3022,êºéRè∏àÍ,2,20,3,9,1,0.152,0,3,0,0,0,0,0,0,0,9,0.15269565217391304
3022,êºéRè∏àÍ,3,21,2,4,3,0.13380952380952382,0,0,1,0,1,0,0,0,0,0,0.15269565217391304
3022,êºéRè∏àÍ,4,24,2,7,4,0.1475,0,0,1,0,1,0,0,0,0,0,0.15269565217391304
3022,êºéRè∏àÍ,5,17,1,2,1,0.17058823529411765,0,1,0,0,0,0,0,0,0,0,0.15269565217391304
3022,êºéRè∏àÍ,6,15,0,1,3,0.17600000000000002,0,0,0,0,0,0,0,0,0,0,0.15269565217391304
3024,êºìáã`ë•,1,129,68,25,16,0.15961240310077518,67,0,0,0,1,0,18,20,18,0,0.15915077989601387
