,original_index,日付,レース場,レース番号,正解1着艇,1号艇勝利確率,2号艇勝利確率,3号艇勝利確率,4号艇勝利確率,5号艇勝利確率,6号艇勝利確率,1号艇確率,2号艇確率,3号艇確率,4号艇確率,5号艇確率,6号艇確率
0,4,2024-04-01,三国,6,3,0.3493063339367845,0.2491343154668415,0.05946672538835454,0.22406165573537978,0.09800211752933555,0.02002885194330405,0.9124335940203283,0.8148921772812295,0.3867417027590692,0.6213934618954814,0.3503276946332053,0.06495826403542776
1,6,2024-04-01,三国,8,2,0.13581684106052788,0.16300557514595124,0.18246708466502914,0.22421824512316738,0.22625438070500692,0.06823787330031747,0.6980046357030645,0.6052259843744018,0.6365701496971116,0.52873251680483,0.3423060032812173,0.15029273969693754
2,13,2024-04-01,下関,6,1,0.442349079115037,0.15876956411215154,0.06230826139837362,0.04782966383155317,0.26512062984697893,0.02362280169590578,0.9214091499677807,0.7504807648806456,0.4913797570284688,0.30763894107513157,0.4967674388458748,0.12722269649431378
3,23,2024-04-01,住之江,7,3,0.1383807066309191,0.27115076990384934,0.2654912209839239,0.05580173727791412,0.25407970175187544,0.015095863451518055,0.7829420007391356,0.7567799018464473,0.5650938343584078,0.24776452060400805,0.6030350071108508,0.050276094329925
4,34,2024-04-01,多摩川,9,1,0.29729322934229413,0.22516844392554095,0.2544873923189394,0.11613618517640117,0.01498254368830607,0.09193220554851826,0.9141402653289379,0.7422511672511876,0.6747913061149109,0.4298995622984861,0.031908663941867615,0.278265429473277
5,40,2024-04-01,大村,6,1,0.6092388646674551,0.05354077274983134,0.06139076057622288,0.03080183803208477,0.03830975514911864,0.20671800882528726,0.9411596016440482,0.5699318012760333,0.5542222686313217,0.25292201564992534,0.1905394865251953,0.5067767435136632
6,46,2024-04-01,常滑,4,1,0.22908098886712383,0.05731204411941843,0.03986500840955963,0.28484163313256083,0.3845846880220313,0.0043156374493059785,0.9098319151033808,0.5384611821090232,0.2537244385292834,0.7617429037837865,0.5917074811670815,0.020492402042281088
7,52,2024-04-01,戸田,1,4,0.1094706058590577,0.1299113060610449,0.19957656340549795,0.16317015607120286,0.391498735682915,0.006372632920281614,0.5149118063436953,0.5744512142662914,0.5635194443548182,0.5150978470687176,0.7135006311195948,0.01730506441759314
8,53,2024-04-01,戸田,2,1,0.06790310857307762,0.24901160695211105,0.4489701553015831,0.11119173421039087,0.011047573106544193,0.11187582185629315,0.678291261882083,0.7457889978856435,0.8282328114578504,0.5451224594026681,0.011176602390481887,0.1968443739921737
9,61,2024-04-01,浜名湖,1,2,0.1382534318369433,0.1988114148738405,0.09788648267968796,0.37101078600708,0.052008461407280736,0.14202942319516762,0.7733865793157545,0.6572085328804266,0.332483614305769,0.6793392363689772,0.10788620293604148,0.4568765892574705
