日付,レース場,レース番号,レース種別,艇番,登録番号,選手名_x,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,選手名_y,出走数,勝利回数,2着回数,3着回数,平均ST,逃げ,差し,まくり,まくり差し,抜き,恵まれ,差され,まくられ,まくり差され,逃し,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2022-01-09,芦屋,1,予選,1,4155,長野壮志,41,福岡,58,A1,5.8,43.88,5.99,39.77,11,28.57,41,30.82,晴,無風,0,1,6.7,1,逃げ,1,0.13,1.46.9,長野壮志郎,52.0,36.0,7.0,3.0,0.1498076923076923,34.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,6.0,0.0,0.1506343283582089,0.6923076923076923,0.1346153846153846,0.057692307692307696,0.6538461538461539,0.0,0.0,0.0,0.0,0.07692307692307693,0.09615384615384616,0.11538461538461539
2022-01-09,芦屋,1,予選,2,3825,宮嵜隆太,48,福岡,59,B1,4.16,23.21,3.78,18.46,34,33.81,49,30.63,晴,無風,0,1,6.82,2,逃げ,2,0.11,1.48.7,宮嵜隆太郎,25.0,1.0,6.0,3.0,0.1256,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.1221897810218978,0.04,0.24,0.12,0.0,0.56,0.0,0.04,0.0,0.0,0.0,0.0
2022-01-09,芦屋,1,予選,3,4079,出畑孝典,43,福岡,54,B1,6.24,44.95,5.73,40.0,58,27.27,74,27.33,晴,無風,0,1,6.79,6,逃げ,3,0.11,.  .,出畑孝典,33.0,7.0,10.0,8.0,0.1484848484848485,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537327188940092,0.21212121212121213,0.30303030303030304,0.24242424242424243,0.0,0.0,0.0,0.06060606060606061,0.15151515151515152,0.0,0.0,0.0
2022-01-09,芦屋,1,予選,4,4232,笠　雅雄,38,福岡,60,B2,3.44,13.46,3.67,14.81,13,35.71,68,31.13,晴,無風,0,1,6.8,3,逃げ,4,0.12,1.49.9,笠雅雄,22.0,0.0,2.0,4.0,0.1554545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1720325203252032,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,芦屋,1,予選,5,4562,阪本勇介,34,岡山,55,B1,4.63,23.47,4.12,16.0,6,27.42,25,35.8,晴,無風,0,1,6.65,4,逃げ,5,0.13,1.51.6,阪本勇介,41.0,1.0,4.0,8.0,0.1841463414634146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18864,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0
2022-01-09,芦屋,1,予選,6,5134,大原祥昌,22,広島,51,B2,3.06,5.56,3.11,11.11,27,30.47,60,34.81,晴,無風,0,1,6.8,5,逃げ,6,0.12,.  .,大原祥昌,55.0,2.0,5.0,6.0,0.1749090909090909,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1748936170212766,0.03636363636363636,0.09090909090909091,0.10909090909090909,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0
2022-01-09,芦屋,2,予選,1,3777,樋口　亮,46,長崎,53,A2,5.3,33.33,5.64,47.22,4,26.43,62,39.43,曇り,南,1,1,6.72,1,逃げ,1,0.16,1.47.3,樋口亮,42.0,21.0,7.0,4.0,0.1711904761904762,20.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,6.0,0.0,0.1841810344827586,0.5,0.16666666666666666,0.09523809523809523,0.47619047619047616,0.0,0.0,0.0,0.0,0.07142857142857142,0.23809523809523808,0.14285714285714285
2022-01-09,芦屋,2,予選,2,5048,眞鳥康太,27,長崎,57,B1,4.49,22.97,2.74,2.13,14,32.14,66,28.66,曇り,南,1,1,6.72,3,逃げ,2,0.22,1.50.6,眞鳥康太,33.0,1.0,6.0,5.0,0.1706060606060606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.1983428571428571,0.030303030303030304,0.18181818181818182,0.15151515151515152,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,芦屋,2,予選,3,4329,小松卓司,38,福岡,51,B1,5.35,32.74,5.03,26.44,51,33.99,19,33.13,曇り,南,1,1,6.68,4,逃げ,3,0.19,1.51.0,小松卓司,41.0,4.0,8.0,15.0,0.1773170731707317,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1659756097560975,0.0975609756097561,0.1951219512195122,0.36585365853658536,0.0,0.0,0.0,0.024390243902439025,0.07317073170731707,0.0,0.0,0.0
2022-01-09,芦屋,2,予選,4,4566,塩田北斗,34,福岡,53,A1,7.31,59.06,6.98,54.2,57,29.41,24,28.67,曇り,南,1,1,6.77,2,逃げ,4,0.19,1.49.0,塩田北斗,44.0,12.0,10.0,5.0,0.144090909090909,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574545454545454,0.2727272727272727,0.22727272727272727,0.11363636363636363,0.0,0.0,0.06818181818181818,0.13636363636363635,0.06818181818181818,0.0,0.0,0.0
