日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
2023-06-03,唐津,1,朝１戦一般,1,4189,川上　剛,42,福岡,57,A1,6.36,44.59,4.7,25.0,21,30.59,39,39.22,晴,北,5,5,6.88,1,逃げ,1,0.21,1.51.5,0.15081081081081082,0.15291803278688526,0.3333333333333333,0.4166666666666667,0.0
2023-06-03,唐津,1,朝１戦一般,2,4693,松下誉士,39,福岡,54,B1,4.39,23.53,3.63,18.75,39,32.86,77,36.54,晴,北,5,5,6.87,6,逃げ,3,0.36,1.57.8,0.18113636363636362,0.16859030837004407,0.027777777777777776,0.3333333333333333,0.5833333333333334
2023-06-03,唐津,1,朝１戦一般,3,4632,長尾京志,34,福岡,53,B1,4.36,18.07,5.59,40.91,47,35.0,63,25.0,晴,北,5,5,6.99,3,逃げ,2,0.32,1.53.6,0.17625,0.17456521739130434,0.15384615384615385,0.3076923076923077,0.0
2023-06-03,唐津,1,朝１戦一般,4,3922,菅沼佳昭,47,愛知,50,B1,4.12,21.95,0.0,0.0,28,31.61,69,25.58,晴,北,5,5,6.94,4,逃げ,4,0.19,1.54.4,0.192,0.19242290748898677,0.03125,0.28125,0.0
2023-06-03,唐津,1,朝１戦一般,5,5014,梶山涼斗,25,佐賀,53,B1,4.31,17.02,4.22,20.0,42,24.85,47,23.64,晴,北,5,5,6.83,2,逃げ,5,0.14,1.52.0,0.159,0.154247311827957,0.08571428571428572,0.22857142857142856,0.0
2023-06-03,唐津,1,朝１戦一般,6,4417,服部　剛,36,静岡,53,B1,4.7,24.14,6.0,12.5,46,41.53,60,28.85,晴,北,5,5,6.87,5,逃げ,6,0.2,1.54.6,0.20541666666666666,0.19551912568306012,0.0,0.17857142857142858,0.0
2023-06-03,唐津,2,モー２ング一,1,4209,藤田竜弘,40,静岡,60,A2,5.18,32.58,5.4,20.0,62,34.78,44,21.43,晴,北,6,6,6.94,3,まくり,1,0.15,1.53.2,0.17260869565217393,0.17457831325301204,0.125,0.4583333333333333,0.0
2023-06-03,唐津,2,モー２ング一,2,4966,田川大貴,25,長崎,54,A2,5.46,34.45,5.39,39.47,40,34.45,65,30.77,晴,北,6,6,6.93,1,まくり,2,0.15,1.50.6,0.13634146341463416,0.14866952789699572,0.0967741935483871,0.3870967741935484,0.4838709677419355
2023-06-03,唐津,2,モー２ング一,3,4555,富永大一,33,福岡,53,B1,4.37,26.8,5.21,34.88,23,28.39,75,26.42,晴,北,6,6,6.91,4,まくり,3,0.21,1.53.5,0.16864864864864865,0.19576036866359448,0.0,0.3333333333333333,0.0
2023-06-03,唐津,2,モー２ング一,4,4981,牧山敦也,26,佐賀,52,B1,5.07,28.97,4.96,27.57,11,34.55,59,44.64,晴,北,6,6,6.92,2,まくり,4,0.17,1.51.5,0.17317073170731706,0.17281553398058253,0.0,0.3,0.0
