日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2024-03-09,大村,1,予選,1,3349,吉田一郎,56,長崎,52,B1,6.1,42.53,6.33,49.37,32,39.56,63,34.64,晴,北西,3,2,6.9,1,逃げ,1,0.07,1.48.7,0.1482222222222222,0.1544292237442922,0.1891891891891892,0.1891891891891892,0.1891891891891892,0.1891891891891892,0.0,0.0,0.0,0.0,0.32432432432432434,0.32432432432432434,0.13513513513513514
2024-03-09,大村,1,予選,2,4126,吉本玲緒,44,広島,59,B1,3.47,18.18,3.2,13.33,60,32.18,20,35.06,晴,北西,3,2,6.92,6,逃げ,2,0.06,.  .,0.1658333333333333,0.1719135802469135,0.08823529411764706,0.08823529411764706,0.23529411764705882,0.0,0.5882352941176471,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0
2024-03-09,大村,1,予選,3,4299,中島浩哉,41,長崎,57,B1,3.82,18.92,4.93,25.85,35,23.76,16,31.14,晴,北西,3,2,6.93,2,逃げ,3,0.07,1.49.4,0.1527272727272727,0.1417934782608695,0.08108108108108109,0.10810810810810811,0.10810810810810811,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0
2024-03-09,大村,1,予選,4,4747,山戸信二,38,長崎,52,B1,3.3,10.14,4.35,20.53,26,25.84,14,20.35,晴,北西,3,2,6.86,4,逃げ,4,0.17,1.52.8,0.1414285714285714,0.1567357512953368,0.02857142857142857,0.08571428571428572,0.17142857142857143,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0
2024-03-09,大村,1,予選,5,5238,笹木香吾,24,山口,55,B1,2.66,3.95,0.0,0.0,72,25.31,41,33.33,晴,北西,3,2,6.92,5,逃げ,5,0.11,.  .,0.1944827586206896,0.1837988826815642,0.06060606060606061,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0
2024-03-09,大村,1,予選,6,5167,小川竜太,23,埼玉,52,B1,3.93,21.25,6.23,46.15,74,45.09,13,35.06,晴,北西,3,2,6.85,3,逃げ,6,0.1,1.51.2,0.1342424242424242,0.1335944700460829,0.0,0.06451612903225806,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,2,予選,1,4113,木村浩士,43,群馬,54,B1,4.38,25.0,5.0,28.57,75,36.52,48,32.18,晴,北西,3,2,6.93,1,逃げ,1,0.26,1.49.4,0.1832432432432432,0.1847698744769874,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.0,0.0,0.0,0.0,0.25925925925925924,0.4444444444444444,0.2222222222222222
2024-03-09,大村,2,予選,2,4683,向井田直,33,広島,46,B1,4.59,26.32,4.68,28.0,71,29.61,27,38.86,晴,北西,3,2,6.85,2,逃げ,2,0.22,1.50.5,0.1125806451612903,0.12,0.125,0.125,0.09375,0.0,0.53125,0.0625,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,2,予選,3,4665,加藤啓太,40,愛知,51,B1,4.42,22.62,0.0,0.0,43,38.01,60,31.25,晴,北西,3,2,6.86,3,逃げ,3,0.14,1.52.4,0.1441666666666666,0.1588541666666666,0.0,0.027777777777777776,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,2,予選,4,4705,吉川勇作,35,長崎,55,B1,4.17,23.4,4.39,25.77,63,33.15,19,31.61,晴,北西,3,2,6.86,6,逃げ,6,0.18,.  .,0.1588571428571428,0.1626732673267326,0.0,0.06060606060606061,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,2,予選,5,5286,坂井滉哉,24,福岡,52,B2,2.43,6.15,1.89,0.0,28,31.79,39,32.02,晴,北西,3,2,6.92,4,逃げ,4,0.17,1.52.6,0.1772340425531915,0.1696503496503496,0.0,0.03225806451612903,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,2,予選,6,4004,山本浩輔,46,長崎,53,B1,4.69,28.42,5.24,32.37,54,31.11,62,36.36,晴,北西,3,2,6.82,5,逃げ,5,0.22,.  .,0.2,0.1691101694915254,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,3,予選,1,3503,堂原洋史,54,埼玉,53,B1,3.8,13.51,3.7,30.0,11,33.75,22,32.95,晴,北西,3,2,6.84,3,まくり差し,1,0.18,1.51.6,0.1909090909090909,0.1755757575757575,0.46,0.28,0.16,0.36,0.0,0.0,0.0,0.0,0.14,0.2,0.16
2024-03-09,大村,3,予選,2,5170,佐藤太亮,23,岡山,51,B1,4.89,32.32,4.97,23.68,64,24.73,26,22.35,晴,北西,3,2,6.9,5,まくり差し,2,0.18,.  .,0.1505263157894736,0.1425570776255707,0.021739130434782608,0.30434782608695654,0.32608695652173914,0.0,0.5,0.021739130434782608,0.0,0.0,0.0,0.0,0.0
2024-03-09,大村,3,予選,3,3787,天野　誠,52,岡山,54,B2,3.87,20.0,3.93,16.28,36,32.78,35,32.95,晴,北西,3,2,6.89,6,まくり差し,3,0.13,.  .,0.1963636363636363,0.19,0.08108108108108109,0.16216216216216217,0.21621621621621623,0.0,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0
2024-03-09,大村,3,予選,4,4682,大上卓人,33,広島,52,A1,6.81,49.57,6.46,46.15,51,36.69,74,37.71,晴,北西,3,2,6.85,2,まくり差し,4,0.05,1.48.9,0.1336585365853658,0.1496641791044776,0.10810810810810811,0.16216216216216217,0.35135135135135137,0.0,0.0,0.0,0.08108108108108109,0.02702702702702703,0.0,0.0,0.0
2024-03-09,大村,3,予選,5,4037,別府正幸,45,埼玉,54,A2,4.56,30.91,5.43,42.86,20,34.64,58,33.52,晴,北西,3,2,6.92,1,まくり差し,5,0.08,1.47.8,0.1909523809523809,0.1684232365145228,0.11764705882352941,0.2647058823529412,0.23529411764705882,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0
