レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,1着率,2-3着率,逃し率
大村,1,予選,1,4248,岡本　大,42,長崎,52,B1,4.2,19.67,4.82,31.72,38,24.14,63,27.42,晴,北西,2,1,6.95,1,逃げ,1,0.09,1.50.6,0.12125,0.17027586206896553,0.1111111111111111,0.4444444444444444,0.0
大村,1,予選,2,4465,大西　賢,38,東京,53,B1,4.19,15.73,5.14,28.57,73,41.54,16,36.51,晴,北西,2,1,6.96,2,逃げ,2,0.14,1.52.1,0.1825,0.1825,0.1,0.3,0.6333333333333333
大村,1,予選,3,4257,古川　健,40,広島,52,B1,4.86,25.53,4.78,29.73,54,32.79,12,24.62,晴,北西,2,1,6.9,4,逃げ,3,0.16,1.54.0,0.14709677419354839,0.15105263157894738,0.0,0.1935483870967742,0.0
大村,1,予選,4,4435,服部達哉,38,愛知,57,B1,5.43,33.33,5.89,42.11,25,21.31,53,40.0,晴,北西,2,1,6.93,3,逃げ,4,0.21,1.53.2,0.16972972972972974,0.1673913043478261,0.08823529411764706,0.20588235294117646,0.0
大村,1,予選,5,4705,吉川勇作,36,長崎,54,B1,4.25,24.74,4.31,25.0,28,35.48,27,27.69,晴,北西,2,1,7.01,5,逃げ,5,0.1,.  .,0.14857142857142858,0.15386473429951691,0.0,0.2,0.0
大村,1,予選,6,5117,冨名腰桃,24,福岡,47,B2,3.82,23.53,4.18,29.41,70,43.94,17,32.26,晴,北西,2,1,6.95,6,逃げ,6,0.33,.  .,0.14733333333333334,0.1718421052631579,0.0,0.2608695652173913,0.0
大村,2,予選,1,4259,真庭明志,40,長崎,53,A2,5.84,35.94,6.18,42.65,24,27.69,34,23.88,晴,北西,2,1,6.98,1,逃げ,1,0.19,1.50.3,0.13693877551020409,0.14669322709163346,0.19230769230769232,0.3076923076923077,0.0
大村,2,予選,2,3790,佐口達也,52,群馬,53,B1,4.47,21.19,5.25,34.38,65,40.32,36,23.33,晴,北西,2,1,6.98,6,逃げ,2,0.23,.  .,0.13474999999999998,0.1557918552036199,0.08108108108108109,0.24324324324324326,0.4594594594594595
大村,2,予選,3,3434,松尾宣邦,55,福岡,54,B1,4.52,25.45,5.54,42.31,35,26.98,21,34.85,晴,北西,2,1,7.01,4,逃げ,3,0.23,1.54.5,0.16256410256410256,0.1738755980861244,0.0,0.43243243243243246,0.0
大村,2,予選,4,4440,萩原知哉,38,東京,55,B1,4.3,23.23,4.13,12.5,51,28.57,75,31.25,晴,北西,2,1,7.02,5,逃げ,4,0.12,.  .,0.17272727272727273,0.17697435897435895,0.02702702702702703,0.2702702702702703,0.0
大村,2,予選,5,5002,上田健太,28,愛知,51,A2,5.7,39.85,5.55,27.27,27,49.25,22,40.91,晴,北西,2,1,6.88,2,逃げ,5,0.11,1.51.7,0.14485714285714288,0.1640909090909091,0.027777777777777776,0.19444444444444445,0.0
大村,2,予選,6,4226,村田浩司,42,山口,56,B1,3.58,9.09,3.92,22.22,11,42.19,19,30.3,晴,北西,2,1,6.95,3,逃げ,6,0.09,1.53.1,0.13791666666666666,0.16049079754601228,0.0,0.25,0.0
大村,3,予選,1,4037,別府正幸,45,埼玉,49,B1,4.84,29.82,5.79,42.86,48,32.26,67,40.0,晴,北西,2,1,6.9,1,逃げ,1,0.16,1.50.7,0.14863636363636365,0.17116182572614108,0.375,0.44642857142857145,0.0
大村,3,予選,2,4410,井上大輔,38,岡山,52,A2,5.26,33.86,6.5,50.0,39,26.98,59,32.81,晴,北西,2,1,7.04,6,逃げ,2,0.11,.  .,0.1889473684210526,0.16438818565400845,0.06818181818181818,0.6136363636363636,0.4318181818181818
大村,3,予選,3,3752,宇土泰就,53,福岡,53,B1,3.81,14.16,4.33,16.67,37,36.51,28,26.15,晴,北西,2,1,6.96,3,逃げ,3,0.11,1.53.2,0.1748780487804878,0.16683257918552036,0.08695652173913043,0.41304347826086957,0.0
大村,3,予選,4,4538,笠置博之,34,大阪,54,A2,5.52,37.27,0.0,0.0,16,30.77,20,31.82,晴,北西,2,1,6.96,2,逃げ,4,0.1,1.51.3,0.14633333333333332,0.1548241206030151,0.07692307692307693,0.5384615384615384,0.0
大村,3,予選,5,4005,瀬川公則,46,山口,55,B1,3.6,8.43,4.38,24.32,68,43.08,65,46.77,晴,北西,2,1,6.99,4,逃げ,5,0.08,1.54.3,0.195,0.176375,0.07692307692307693,0.3333333333333333,0.0
大村,3,予選,6,3315,広瀬聖仁,58,愛知,52,B1,5.16,29.89,4.5,21.43,36,33.33,52,31.25,晴,北西,2,1,7.01,5,逃げ,6,0.09,.  .,0.2030769230769231,0.16570621468926555,0.0,0.2564102564102564,0.0
大村,4,予選,1,3470,新田芳美,54,徳島,47,B1,5.6,36.96,5.6,44.44,29,39.39,35,30.77,晴,北西,2,1,6.96,3,まくり,1,0.21,1.53.9,0.15266666666666667,0.15612359550561797,0.5,0.0,0.0
大村,4,予選,2,4539,金子賢志,33,群馬,54,A2,6.28,47.41,6.43,57.14,34,40.63,57,26.87,晴,北西,2,1,6.93,1,まくり,2,0.15,1.51.0,0.14772727272727273,0.14813868613138687,0.0,0.5,1.0
大村,4,予選,3,4053,芦澤　望,46,東京,54,A2,5.9,43.18,6.26,47.37,20,30.65,14,34.92,晴,北西,2,1,6.94,2,まくり,3,0.31,1.52.3,0.15676470588235294,0.1521860465116279,0.25,0.75,0.0
