ì˙ït,ÉåÅ[ÉXèÍ,ÉåÅ[ÉXî‘çÜ,ÉåÅ[ÉXéÌï ,í¯î‘,ìoò^î‘çÜ,ëIéËñº,îNóÓ,éxïî,ëÃèd,ãâï ,ëSçëèüó¶,ëSçë2òAëŒó¶,ìñínèüó¶,ìñín2òAëŒó¶,ÉÇÅ[É^Å[î‘çÜ,ÉÇÅ[É^Å[2òAëŒó¶,É{Å[Égî‘çÜ,É{Å[Ég2òAëŒó¶,ìVåÛ,ïóå¸,ïóë¨(m),îgçÇ(cm),ìWé¶É^ÉCÉÄ,íÖèá,åàÇ‹ÇËéË,êiì¸,ÉXÉ^Å[ÉgÉ^ÉCÉ~ÉìÉO,ÉåÅ[ÉXÉ^ÉCÉÄ,ïΩãœST,ëSëÃïΩãœST,èüóòâÒêî,èoëñêî,2íÖâÒêî,3íÖâÒêî,ì¶Ç∞,ì¶Çµ,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,1íÖó¶,2íÖó¶,3íÖó¶,ì¶Ç∞ó¶,ì¶Çµó¶,ç∑Çµó¶,Ç‹Ç≠ÇËó¶,Ç‹Ç≠ÇËç∑Çµó¶,ç∑Ç≥ÇÍó¶,Ç‹Ç≠ÇÁÇÍó¶,Ç‹Ç≠ÇËç∑Ç≥ÇÍó¶
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,1,4375,è∆âÆå˙êm,40,ï∫å…,53,A1,5.59,37.84,6.17,47.62,30,20.0,66,25.49,ì‹ÇË,ìÏêº,1,1,6.82,1,ì¶Ç∞,1,0.11,1.49.4,0.1505555555555555,0.1545247148288973,28.0,54.0,10.0,8.0,28.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,0.5185185185185185,0.18518518518518517,0.14814814814814814,0.5185185185185185,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.12962962962962962
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,2,4665,â¡ì°å[ëæ,41,à§ím,52,B1,4.04,17.54,6.0,28.57,40,15.38,89,32.93,ì‹ÇË,ìÏêº,1,1,6.82,4,ì¶Ç∞,2,0.13,1.53.7,0.1615151515151515,0.174,4.0,33.0,7.0,1.0,0.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.21212121212121213,0.030303030303030304,0.0,0.6060606060606061,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,3,4304,ì°çËè¨ïS,41,ïüâ™,47,B2,6.89,56.52,6.17,41.67,67,43.75,76,36.31,ì‹ÇË,ìÏêº,1,1,6.84,2,ì¶Ç∞,3,0.15,1.50.2,0.1399999999999999,0.136595744680851,1.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,4,4878,êºâ™àÁñ¢,29,ìøìá,47,B1,4.15,21.31,5.12,36.59,17,44.19,48,24.22,ì‹ÇË,ìÏêº,1,1,6.83,6,ì¶Ç∞,4,0.16,1.55.7,0.1948,0.1695625,0.0,25.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,5,3769,ç≤í|çPïF,51,é†âÍ,52,B1,5.65,33.75,5.42,27.08,28,34.15,43,35.44,ì‹ÇË,ìÏêº,1,1,6.84,3,ì¶Ç∞,5,0.21,1.52.5,0.1709677419354838,0.1530645161290322,0.0,31.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,1,í©ÇPêÌó\ëI,6,5270,è¨ã å[ëæ,23,ç≤âÍ,53,B1,3.6,16.13,2.3,6.06,11,18.18,56,26.17,ì‹ÇË,ìÏêº,1,1,6.88,5,ì¶Ç∞,6,0.16,1.54.9,0.1515384615384615,0.1579255319148936,0.0,52.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,2,ÉÇÅ[ÇQÉìÉOó\,1,4953,îˆè„âÎñÁ,30,çÈã ,53,A1,6.23,47.52,5.61,27.78,56,24.44,37,37.18,ì‹ÇË,ìÏêº,1,1,6.77,1,ì¶Ç∞,1,0.25,1.48.5,0.1543396226415094,0.1575,37.0,53.0,7.0,2.0,36.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,0.6981132075471698,0.1320754716981132,0.03773584905660377,0.6792452830188679,0.0,0.0,0.0,0.0,0.07547169811320754,0.1320754716981132,0.09433962264150944
2024-11-21,ìÇí√,2,ÉÇÅ[ÇQÉìÉOó\,2,4256,ìnï”ç_éi,41,ïüâ™,52,A1,7.23,61.65,7.88,66.67,33,37.25,77,30.3,ì‹ÇË,ìÏêº,1,1,6.82,2,ì¶Ç∞,2,0.2,1.51.1,0.1306382978723404,0.1251890034364261,7.0,47.0,21.0,7.0,0.0,33.0,4.0,3.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.44680851063829785,0.14893617021276595,0.0,0.7021276595744681,0.0851063829787234,0.06382978723404255,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,2,ÉÇÅ[ÇQÉìÉOó\,3,3967,óÈñÿñŒçÇ,45,à§ím,58,B1,4.84,26.6,0.0,0.0,22,48.78,64,33.55,ì‹ÇË,ìÏêº,1,1,6.96,5,ì¶Ç∞,4,0.33,1.55.5,0.1952777777777777,0.2006770833333333,2.0,36.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0
2024-11-21,ìÇí√,2,ÉÇÅ[ÇQÉìÉOó\,4,5117,ïyñºçòìç,24,ïüâ™,44,B2,2.89,5.26,3.85,17.5,37,18.87,40,31.54,ì‹ÇË,ìÏêº,1,1,6.83,6,ì¶Ç∞,5,0.35,1.56.0,0.1578571428571428,0.1851136363636363,1.0,14.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
