日付,レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率,天候,風向,風速(m),波高(cm),展示タイム,着順,決まり手,進入,スタートタイミング,レースタイム,平均ST,全体平均ST,勝利回数,出走数,2着回数,3着回数,逃げ,逃し,差し,まくり,まくり差し,差され,まくられ,まくり差され,1着率,2着率,3着率,逃げ率,逃し率,差し率,まくり率,まくり差し率,差され率,まくられ率,まくり差され率
2025-02-07,芦屋,1,サンライズＶ,1,4904,松本一毅,30,大阪,53,A2,5.47,35.79,6.0,38.89,25,29.38,29,39.59,雪,南西,3,3,6.8,1,逃げ,1,0.13,1.49.5,0.1527027027027027,0.1656097560975609,24,37,5,1,23,0,0,0,0,2,7,3,0.6486486486486487,0.13513513513513514,0.02702702702702703,0.6216216216216216,0.0,0.0,0.0,0.0,0.05405405405405406,0.1891891891891892,0.08108108108108109
2025-02-07,芦屋,1,サンライズＶ,2,3718,伊達正利,49,静岡,55,B1,4.06,22.54,0.0,0.0,21,39.29,24,29.1,雪,南西,3,3,6.79,3,逃げ,2,0.19,1.51.2,0.2006666666666667,0.1919444444444444,2,30,6,8,0,16,2,0,0,0,0,0,0.06666666666666667,0.2,0.26666666666666666,0.0,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
2025-02-07,芦屋,1,サンライズＶ,3,3439,大平誉史,55,大阪,51,B1,5.56,38.68,5.81,43.75,46,26.6,55,31.89,雪,南西,3,3,6.86,2,逃げ,3,0.17,1.49.8,0.1606521739130434,0.1615355805243445,5,46,11,6,0,0,1,1,3,0,0,0,0.10869565217391304,0.2391304347826087,0.13043478260869565,0.0,0.0,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.0,0.0,0.0
2025-02-07,芦屋,1,サンライズＶ,4,4232,笠　雅雄,41,福岡,60,B2,4.71,34.15,4.62,26.19,5,35.96,68,34.38,雪,南西,3,3,6.78,5,逃げ,4,0.24,.  .,0.1725,0.1822222222222222,1,20,0,6,0,0,1,0,0,0,0,0,0.05,0.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2025-02-07,芦屋,1,サンライズＶ,5,4314,青木幸太,40,福岡,51,B1,5.58,34.74,5.42,35.44,42,31.75,57,36.89,雪,南西,3,3,6.81,4,逃げ,5,0.18,1.52.1,0.1511764705882352,0.1450480769230769,2,34,8,6,0,0,0,0,2,0,0,0,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
2025-02-07,芦屋,1,サンライズＶ,6,5352,西岡蒼志,20,香川,57,B2,2.45,4.55,3.25,12.5,13,40.91,52,44.86,雪,南西,3,3,6.79,6,逃げ,6,0.28,.  .,0.2064864864864865,0.2111111111111111,0,74,3,2,0,0,0,0,0,0,0,0,0.0,0.04054054054054054,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,芦屋,2,サンライズＷ,1,4323,山田佑樹,38,岡山,57,A2,5.77,43.01,5.8,40.0,39,31.12,70,32.28,雪,南西,3,3,6.9,5,まくり,1,0.22,.  .,0.1412195121951219,0.1569747899159664,26,41,7,1,24,0,0,0,0,3,6,4,0.6341463414634146,0.17073170731707318,0.024390243902439025,0.5853658536585366,0.0,0.0,0.0,0.0,0.07317073170731707,0.14634146341463414,0.0975609756097561
2025-02-07,芦屋,2,サンライズＷ,2,3921,川村正輝,50,福井,51,B1,5.09,32.47,5.0,30.56,18,24.03,32,37.04,雪,南西,3,3,6.94,6,まくり,2,0.18,.  .,0.17,0.1687383177570093,8,36,10,5,0,14,5,1,0,0,0,0,0.2222222222222222,0.2777777777777778,0.1388888888888889,0.0,0.3888888888888889,0.1388888888888889,0.027777777777777776,0.0,0.0,0.0,0.0
2025-02-07,芦屋,2,サンライズＷ,3,5032,谷口知優,27,香川,53,B1,5.13,28.17,3.82,17.65,1,38.24,51,29.21,雪,南西,3,3,6.85,4,まくり,3,0.32,1.52.0,0.1803333333333333,0.1689655172413793,2,30,4,6,0,0,0,2,0,0,0,0,0.06666666666666667,0.13333333333333333,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
2025-02-07,芦屋,2,サンライズＷ,4,4518,大須賀友,38,愛知,53,A1,6.68,52.22,6.88,47.06,45,37.16,18,35.98,雪,南西,3,3,6.7,1,まくり,4,0.13,1.48.4,0.1605714285714286,0.1544075829383886,2,35,8,11,0,0,1,0,0,0,0,0,0.05714285714285714,0.22857142857142856,0.3142857142857143,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
2025-02-07,芦屋,2,サンライズＷ,5,4416,三宅健太,38,広島,55,B1,4.96,23.36,5.46,29.17,14,40.78,12,37.69,雪,南西,3,3,6.8,2,まくり,5,0.21,1.49.5,0.1968421052631579,0.1795238095238095,1,38,3,8,0,0,0,0,1,0,0,0,0.02631578947368421,0.07894736842105263,0.21052631578947367,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
2025-02-07,芦屋,2,サンライズＷ,6,4330,奈須啓太,41,福岡,52,B2,6.71,47.06,6.32,50.0,4,32.46,65,34.02,雪,南西,3,3,6.81,3,まくり,6,0.11,1.51.3,0.111578947368421,0.1162809917355371,1,19,2,4,0,0,0,0,1,0,0,0,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
2025-02-07,芦屋,3,サンライズＸ,1,3796,長野道臣,51,静岡,54,A2,5.35,37.82,4.6,30.0,17,29.51,23,37.77,雪,南,1,1,6.76,1,逃げ,1,0.12,1.48.3,0.155438596491228,0.1671812080536912,26,57,17,1,26,0,0,0,0,4,13,11,0.45614035087719296,0.2982456140350877,0.017543859649122806,0.45614035087719296,0.0,0.0,0.0,0.0,0.07017543859649122,0.22807017543859648,0.19298245614035087
2025-02-07,芦屋,3,サンライズＸ,2,4724,吉田祐貴,39,佐賀,53,B1,4.28,16.22,4.48,25.93,31,37.57,67,36.36,雪,南,1,1,6.82,3,逃げ,2,0.13,1.50.5,0.1745714285714285,0.1771282051282051,1,35,7,8,0,22,0,0,0,0,0,0,0.02857142857142857,0.2,0.22857142857142856,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,芦屋,3,サンライズＸ,3,3745,橋本年光,50,兵庫,54,A1,6.17,42.0,6.32,47.37,26,32.75,13,37.04,雪,南,1,1,6.8,5,逃げ,3,0.12,.  .,0.1833333333333333,0.1625,4,42,10,11,0,0,0,0,4,0,0,0,0.09523809523809523,0.23809523809523808,0.2619047619047619,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
2025-02-07,芦屋,3,サンライズＸ,4,4625,渡邊裕貴,38,静岡,52,B1,5.05,28.33,3.9,20.0,7,29.94,45,28.88,雪,南,1,1,6.8,6,逃げ,4,0.13,.  .,0.1375675675675675,0.1475773195876288,2,37,4,9,0,0,1,1,0,0,0,0,0.05405405405405406,0.10810810810810811,0.24324324324324326,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0
2025-02-07,芦屋,3,サンライズＸ,5,4118,宇佐見淳,43,愛知,52,A2,6.9,53.93,6.83,51.72,41,40.22,16,37.13,雪,南,1,1,6.79,2,逃げ,5,0.17,1.49.0,0.1537142857142857,0.13612,3,35,5,12,0,0,0,1,1,0,0,0,0.08571428571428572,0.14285714285714285,0.34285714285714286,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0
2025-02-07,芦屋,3,サンライズＸ,6,3442,宮武英司,55,香川,54,B1,5.32,29.79,6.35,52.17,8,36.71,35,44.72,雪,南,1,1,6.75,4,逃げ,6,0.13,1.52.0,0.1872222222222222,0.1657983193277311,1,36,3,5,0,0,0,1,0,0,0,0,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
