日付,レース場,レース番号,舟券種,組合せ,払戻金
2022-09-27,大村,1,複勝,4,1440
2022-09-27,大村,1,２連単,5-4,9020
2022-09-27,大村,1,２連複,4-5,3480
2022-09-27,大村,1,拡連複,4-5,730
2022-09-27,大村,1,３連単,5-4-1,47490
2022-09-27,大村,1,３連複,1-4-5,2000
2022-09-27,大村,2,単勝,1,220
2022-09-27,大村,2,複勝,1,150
2022-09-27,大村,2,複勝,4,340
2022-09-27,大村,2,２連単,1-4,1160
2022-09-27,大村,2,２連複,1-4,990
2022-09-27,大村,2,拡連複,1-4,260
2022-09-27,大村,2,３連単,1-4-2,3460
2022-09-27,大村,2,３連複,1-2-4,470
2022-09-27,大村,3,単勝,2,1130
2022-09-27,大村,3,複勝,2,610
2022-09-27,大村,3,複勝,4,260
2022-09-27,大村,3,２連単,2-4,5520
2022-09-27,大村,3,２連複,2-4,4550
2022-09-27,大村,3,拡連複,2-4,1030
2022-09-27,大村,3,３連単,2-4-6,28250
2022-09-27,大村,3,３連複,2-4-6,5920
2022-09-27,大村,4,単勝,1,140
2022-09-27,大村,4,複勝,1,160
2022-09-27,大村,4,複勝,3,160
2022-09-27,大村,4,２連単,1-3,550
2022-09-27,大村,4,２連複,1-3,270
2022-09-27,大村,4,拡連複,1-3,140
2022-09-27,大村,4,３連単,1-3-4,2670
2022-09-27,大村,4,３連複,1-3-4,1370
2022-09-27,大村,5,単勝,2,900
2022-09-27,大村,5,複勝,2,260
2022-09-27,大村,5,複勝,1,100
2022-09-27,大村,5,２連単,2-1,1700
2022-09-27,大村,5,２連複,1-2,350
2022-09-27,大村,5,拡連複,1-2,180
2022-09-27,大村,5,３連単,2-1-3,5040
2022-09-27,大村,5,３連複,1-2-3,490
2022-09-27,大村,6,単勝,2,860
2022-09-27,大村,6,複勝,2,270
2022-09-27,大村,6,複勝,5,420
2022-09-27,大村,6,２連単,2-5,18530
2022-09-27,大村,6,２連複,2-5,8800
2022-09-27,大村,6,拡連複,2-5,590
2022-09-27,大村,6,３連単,2-5-4,103330
2022-09-27,大村,6,３連複,2-4-5,11500
2022-09-27,大村,7,単勝,1,250
2022-09-27,大村,7,複勝,1,110
2022-09-27,大村,7,複勝,5,310
2022-09-27,大村,7,２連単,1-5,1900
2022-09-27,大村,7,２連複,1-5,1720
2022-09-27,大村,7,拡連複,1-5,370
2022-09-27,大村,7,３連単,1-5-3,4500
2022-09-27,大村,7,３連複,1-3-5,810
2022-09-27,大村,8,単勝,1,110
2022-09-27,大村,8,複勝,1,120
2022-09-27,大村,8,複勝,5,430
2022-09-27,大村,8,２連単,1-5,480
2022-09-27,大村,8,２連複,1-5,550
2022-09-27,大村,8,拡連複,1-5,260
2022-09-27,大村,8,３連単,1-5-2,2330
2022-09-27,大村,8,３連複,1-2-5,850
2022-09-27,大村,9,単勝,1,140
2022-09-27,大村,9,複勝,1,110
2022-09-27,大村,9,複勝,4,380
2022-09-27,大村,9,２連単,1-4,480
2022-09-27,大村,9,２連複,1-4,690
2022-09-27,大村,9,拡連複,1-4,190
2022-09-27,大村,9,３連単,1-4-5,2280
2022-09-27,大村,9,３連複,1-4-5,1120
2022-09-27,大村,10,単勝,3,990
2022-09-27,大村,10,複勝,3,280
2022-09-27,大村,10,複勝,1,120
2022-09-27,大村,10,２連単,3-1,2200
2022-09-27,大村,10,２連複,1-3,270
2022-09-27,大村,10,拡連複,1-3,250
2022-09-27,大村,10,３連単,3-1-4,8670
2022-09-27,大村,10,３連複,1-3-4,940
2022-09-27,大村,11,単勝,4,880
2022-09-27,大村,11,複勝,4,170
2022-09-27,大村,11,複勝,6,1270
2022-09-27,大村,11,２連単,4-6,10590
2022-09-27,大村,11,２連複,4-6,7320
2022-09-27,大村,11,拡連複,4-6,1140
2022-09-27,大村,11,３連単,4-6-5,32520
2022-09-27,大村,11,３連複,4-5-6,5780
2022-09-27,大村,12,単勝,3,680
2022-09-27,大村,12,複勝,3,260
2022-09-27,大村,12,複勝,4,270
2022-09-27,大村,12,２連単,3-4,3990
2022-09-27,大村,12,２連複,3-4,1660
2022-09-27,大村,12,拡連複,3-4,530
2022-09-27,大村,12,３連単,3-4-2,18100
2022-09-27,大村,12,３連複,2-3-4,3650
2022-09-27,福岡,1,単勝,1,130
2022-09-27,福岡,1,複勝,1,190
2022-09-27,福岡,1,複勝,3,1200
2022-09-27,福岡,1,２連単,1-3,340
2022-09-27,福岡,1,２連複,1-3,310
2022-09-27,福岡,1,拡連複,1-3,100
2022-09-27,福岡,1,３連単,1-3-5,610
2022-09-27,福岡,1,３連複,1-3-5,230
2022-09-27,福岡,2,単勝,3,530
2022-09-27,福岡,2,複勝,3,200
2022-09-27,福岡,2,複勝,1,130
2022-09-27,福岡,2,２連単,3-1,3930
2022-09-27,福岡,2,２連複,1-3,550
2022-09-27,福岡,2,拡連複,1-3,220
2022-09-27,福岡,2,３連単,3-1-5,8860
2022-09-27,福岡,2,３連複,1-3-5,950
2022-09-27,福岡,3,単勝,1,160
2022-09-27,福岡,3,複勝,1,160
2022-09-27,福岡,3,複勝,2,270
2022-09-27,福岡,3,２連単,1-2,490
2022-09-27,福岡,3,２連複,1-2,280
2022-09-27,福岡,3,拡連複,1-2,160
2022-09-27,福岡,3,３連単,1-2-3,1290
2022-09-27,福岡,3,３連複,1-2-3,400
2022-09-27,福岡,4,単勝,1,150
2022-09-27,福岡,4,複勝,1,270
2022-09-27,福岡,4,複勝,3,290
2022-09-27,福岡,4,２連単,1-3,1000
2022-09-27,福岡,4,２連複,1-3,770
2022-09-27,福岡,4,拡連複,1-3,420
2022-09-27,福岡,4,３連単,1-3-5,2850
2022-09-27,福岡,4,３連複,1-3-5,1440
2022-09-27,福岡,5,単勝,4,170
2022-09-27,福岡,5,複勝,4,100
2022-09-27,福岡,5,複勝,3,130
2022-09-27,福岡,5,２連単,4-3,550
2022-09-27,福岡,5,２連複,3-4,180
2022-09-27,福岡,5,拡連複,3-4,170
2022-09-27,福岡,5,３連単,4-3-5,1880
2022-09-27,福岡,5,３連複,3-4-5,870
2022-09-27,福岡,6,単勝,1,100
2022-09-27,福岡,6,複勝,1,100
2022-09-27,福岡,6,複勝,4,120
2022-09-27,福岡,6,２連単,1-4,390
2022-09-27,福岡,6,２連複,1-4,290
2022-09-27,福岡,6,拡連複,1-4,210
2022-09-27,福岡,6,３連単,1-4-2,1260
2022-09-27,福岡,6,３連複,1-2-4,420
2022-09-27,福岡,7,単勝,1,120
2022-09-27,福岡,7,複勝,1,100
2022-09-27,福岡,7,複勝,5,100
2022-09-27,福岡,7,２連単,1-5,240
2022-09-27,福岡,7,２連複,1-5,210
2022-09-27,福岡,7,拡連複,1-5,130
2022-09-27,福岡,7,３連単,1-5-6,810
2022-09-27,福岡,7,３連複,1-5-6,420
2022-09-27,福岡,8,単勝,4,280
2022-09-27,福岡,8,複勝,4,120
2022-09-27,福岡,8,複勝,3,220
2022-09-27,福岡,8,２連単,4-3,1790
2022-09-27,福岡,8,２連複,3-4,620
2022-09-27,福岡,8,拡連複,3-4,260
2022-09-27,福岡,8,３連単,4-3-5,13200
2022-09-27,福岡,8,３連複,3-4-5,4280
2022-09-27,福岡,9,単勝,1,200
2022-09-27,福岡,9,複勝,1,100
2022-09-27,福岡,9,複勝,3,120
2022-09-27,福岡,9,２連単,1-3,280
2022-09-27,福岡,9,２連複,1-3,320
2022-09-27,福岡,9,拡連複,1-3,100
2022-09-27,福岡,9,３連単,1-3-5,790
2022-09-27,福岡,9,３連複,1-3-5,430
2022-09-27,福岡,10,単勝,1,110
2022-09-27,福岡,10,複勝,1,100
2022-09-27,福岡,10,複勝,2,170
2022-09-27,福岡,10,２連単,1-2,300
2022-09-27,福岡,10,２連複,1-2,180
2022-09-27,福岡,10,拡連複,1-2,140
2022-09-27,福岡,10,３連単,1-2-4,960
2022-09-27,福岡,10,３連複,1-2-4,590
2022-09-27,福岡,11,単勝,2,450
2022-09-27,福岡,11,複勝,2,290
2022-09-27,福岡,11,複勝,4,560
2022-09-27,福岡,11,２連単,2-4,5780
2022-09-27,福岡,11,２連複,2-4,1600
2022-09-27,福岡,11,拡連複,2-4,300
2022-09-27,福岡,11,３連単,2-4-3,12550
2022-09-27,福岡,11,３連複,2-3-4,2760
2022-09-27,福岡,12,単勝,2,440
2022-09-27,福岡,12,複勝,2,540
2022-09-27,福岡,12,複勝,3,460
2022-09-27,福岡,12,２連単,2-3,2770
2022-09-27,福岡,12,２連複,2-3,1600
2022-09-27,福岡,12,拡連複,2-3,390
2022-09-27,福岡,12,３連単,2-3-4,7240
2022-09-27,福岡,12,３連複,2-3-4,2350
2022-09-27,若松,1,単勝,2,340
2022-09-27,若松,1,複勝,2,160
2022-09-27,若松,1,複勝,4,500
2022-09-27,若松,1,２連単,2-4,5190
2022-09-27,若松,1,２連複,2-4,5290
2022-09-27,若松,1,拡連複,2-4,860
2022-09-27,若松,1,３連単,2-4-6,26300
2022-09-27,若松,1,３連複,2-4-6,4740
2022-09-27,若松,2,単勝,1,370
2022-09-27,若松,2,複勝,1,180
